"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia PURUS",,,,,,,,
"Hogares (001)",758,312,153,67,7,63,11,373
"Ocupantes presentes (002)",3527,1530,632,320,29,244,53,1706
"Casa independiente",,,,,,,,
"Hogares (004)",744,307,152,67,7,63,11,365
"Ocupantes presentes (005)",3479,1512,630,320,29,244,53,1678
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (016)",2,1,,,,,,1
"Ocupantes presentes (017)",5,4,,,,,,1
"Vivienda improvisada",,,,,,,,
"Hogares (019)",4,,,,,,,4
"Ocupantes presentes (020)",20,,,,,,,20
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",8,4,1,,,,,3
"Ocupantes presentes (023)",23,14,2,,,,,7
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",258,138,140,35,7,62,7,68
"Ocupantes presentes (029)",1069,592,566,155,29,239,36,284
"Casa independiente",,,,,,,,
"Hogares (031)",251,137,139,35,7,62,7,63
"Ocupantes presentes (032)",1037,586,564,155,29,239,36,260
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",4,,,,,,,4
"Ocupantes presentes (047)",20,,,,,,,20
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",3,1,1,,,,,1
"Ocupantes presentes (050)",12,6,2,,,,,4
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",500,174,13,32,,1,4,305
"Ocupantes presentes (056)",2458,938,66,165,,5,17,1422
"Casa independiente",,,,,,,,
"Hogares (058)",493,170,13,32,,1,4,302
"Ocupantes presentes (059)",2442,926,66,165,,5,17,1418
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2,1,,,,,,1
"Ocupantes presentes (071)",5,4,,,,,,1
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",5,3,,,,,,2
"Ocupantes presentes (077)",11,8,,,,,,3
"Otro tipo",,,,,,,,
