"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONCEPCION (000)",56470,7626,5290,1488,42133
"Quechua (001)",3986,654,172,72,3094
"Aymara (002)",18,2,3,2,11
"Asháninka (003)",8,,2,2,5
"Otra lengua nativa (004)",47,1,,5,41
"Castellano (005)",52293,6963,5110,1404,38876
"Idioma Extranjero (006)",5,,1,3,1
"Es Sordomudo/a (007)",113,6,2,,105
"Hombres (009)",27403,3664,2782,911,20098
"Quechua (010)",1799,284,121,36,1362
"Aymara (011)",5,,2,1,2
"Asháninka (012)",5,,2,1,3
"Otra lengua nativa (013)",25,,,5,20
"Castellano (014)",25508,3378,2656,866,18655
"Idioma Extranjero (015)",3,,,2,1
"Es Sordomudo/a (016)",58,2,1,,55
"Mujeres (018)",29067,3962,2508,577,22035
"Quechua (019)",2187,370,51,36,1732
"Aymara (020)",13,2,1,1,9
"Asháninka (021)",3,,,1,2
"Otra lengua nativa (022)",22,1,,,21
"Castellano (023)",26785,3585,2454,538,20221
"Idioma Extranjero (024)",2,,1,1,
"Es Sordomudo/a (025)",55,4,1,,50
,,,,,
"URBANA (027)",28982,3049,3982,1101,20892
"Quechua (028)",849,45,86,21,698
"Aymara (029)",9,1,,2,6
"Asháninka (030)",5,,2,1,3
"Otra lengua nativa (031)",44,,,5,39
"Castellano (032)",28016,3000,3891,1069,20096
"Idioma Extranjero (033)",5,,1,3,1
"Es Sordomudo/a (034)",54,3,2,,49
"Hombres (036)",13807,1496,1859,691,9791
"Quechua (037)",361,17,45,18,282
"Aymara (038)",2,,,1,1
"Asháninka (039)",4,,2,1,2
"Otra lengua nativa (040)",24,,,5,19
"Castellano (041)",13385,1478,1811,664,9460
"Idioma Extranjero (042)",3,,,2,1
"Es Sordomudo/a (043)",28,1,1,,26
"Mujeres (045)",15175,1553,2123,410,11101
"Quechua (046)",488,28,41,3,416
"Aymara (047)",7,1,,1,5
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",20,,,,20
"Castellano (050)",14631,1522,2080,405,10636
"Idioma Extranjero (051)",2,,1,1,
"Es Sordomudo/a (052)",26,2,1,,23
,,,,,
"RURAL (054)",27488,4577,1308,387,21241
"Quechua (055)",3137,609,86,51,2396
"Aymara (056)",9,1,3,,5
"Asháninka (057)",3,,,1,2
"Otra lengua nativa (058)",3,1,,,2
"Castellano (059)",24277,3963,1219,335,18780
"Es Sordomudo/a (061)",59,3,,,56
"Hombres (063)",13596,2168,923,220,10307
"Quechua (064)",1438,267,76,18,1080
"Aymara (065)",3,,2,,1
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",12123,1900,845,202,9195
"Es Sordomudo/a (070)",30,1,,,29
"Mujeres (072)",13892,2409,385,167,10934
"Quechua (073)",1699,342,10,33,1316
"Aymara (074)",6,1,1,,4
"Asháninka (075)",2,,,1,1
"Otra lengua nativa (076)",2,1,,,1
"Castellano (077)",12154,2063,374,133,9585
"Es Sordomudo/a (079)",29,2,,,27
