"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAMBOPATA (000)",67849,8895,12070,3039,44020
"Hombres (001)",36011,4037,6468,1879,23731
"Mujeres (002)",31838,4858,5602,1160,20289
"PEA (003)",34985,2129,7071,1748,24171
"Hombres (004)",23097,1176,4349,1288,16373
"Mujeres (005)",11888,953,2722,460,7798
"Ocupada (006)",34005,2058,6970,1722,23389
"Hombres (007)",22485,1145,4292,1271,15866
"Mujeres (008)",11520,913,2678,451,7523
"Desocupada (009)",980,71,101,26,782
"Hombres (010)",612,31,57,17,507
"Mujeres (011)",368,40,44,9,275
"No PEA (012)",32864,6766,4999,1291,19849
"Hombres (013)",12914,2861,2119,591,7358
"Mujeres (014)",19950,3905,2880,700,12491
,,,,,
"URBANA (018)",56607,7050,11018,2785,35910
"Hombres (019)",29192,3096,5690,1715,18780
"Mujeres (020)",27415,3954,5328,1070,17130
"PEA (021)",28512,1689,6248,1601,19089
"Hombres (022)",18005,851,3658,1164,12406
"Mujeres (023)",10507,838,2590,437,6683
"Ocupada (024)",27624,1623,6151,1575,18390
"Hombres (025)",17458,822,3605,1147,11958
"Mujeres (026)",10166,801,2546,428,6432
"Desocupada (027)",888,66,97,26,699
"Hombres (028)",547,29,53,17,448
"Mujeres (029)",341,37,44,9,251
"No PEA (030)",28095,5361,4770,1184,16821
"Hombres (031)",11187,2245,2032,551,6374
"Mujeres (032)",16908,3116,2738,633,10447
,,,,,
"RURAL (036)",11242,1845,1052,254,8110
"Hombres (037)",6819,941,778,164,4951
"Mujeres (038)",4423,904,274,90,3159
"PEA (039)",6473,440,823,147,5082
"Hombres (040)",5092,325,691,124,3967
"Mujeres (041)",1381,115,132,23,1115
"Ocupada (042)",6381,435,819,147,4999
"Hombres (043)",5027,323,687,124,3908
"Mujeres (044)",1354,112,132,23,1091
"Desocupada (045)",92,5,4,,83
"Hombres (046)",65,2,4,,59
"Mujeres (047)",27,3,,,24
"No PEA (048)",4769,1405,229,107,3028
"Hombres (049)",1727,616,87,40,984
"Mujeres (050)",3042,789,142,67,2044
