"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ISLAY (000)",17627,15612,2015
"Casa independiente (001)",16125,14538,1587
"Departamento en edificio (002)",290,290,
"Vivienda en quinta (003)",82,82,
"Vivienda en casa de vecindad (004)",126,126,
"Choza o cabaña (005)",427,,427
"Vivienda improvisada (006)",551,551,
"Local no dest.para hab. humana (007)",24,23,1
"Otro tipo (008)",2,2,
