"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PASCO (000)",135989,13063,3206,41304,50474,5438,4766,7241,10497
"Jefe o Jefa (001)",36019,2825,36,9988,13782,1472,1728,1801,4387
"Esposa(o)/ compa¤era(o) (002)",22107,2024,31,6931,8256,787,1034,891,2153
"Hijo(a)/ hijastro(a) (003)",61187,5927,2568,19655,22641,2453,1418,3646,2879
"Yerno/ nuera (004)",1600,14,5,166,857,102,128,100,228
"Nieto(a) (005)",4793,967,405,1904,1206,107,43,113,48
"Padres/ suegros (006)",1076,541,,363,120,10,11,13,18
"Otro(a) pariente (007)",7649,681,145,2036,2980,421,295,518,573
"Trabajador(a) del hogar (008)",195,11,2,48,110,5,3,9,7
"Pensionista (009)",45,1,,6,20,3,3,8,4
"Otro(a) no pariente (010)",1318,72,14,207,502,78,103,142,200
"Hombres (012)",67160,4944,1622,19521,27069,2741,2320,3685,5258
"Jefe o Jefa (013)",26128,980,25,7020,11031,1148,1280,1365,3279
"Esposa(o)/ compa¤era(o) (014)",1181,36,7,191,543,64,64,119,157
"Hijo(a)/ hijastro(a) (015)",31654,2998,1306,10041,12423,1187,672,1740,1287
"Yerno/ nuera (016)",646,7,2,46,341,37,60,41,112
"Nieto(a) (017)",2476,503,202,978,638,51,25,61,18
"Padres/ suegros (018)",310,86,,136,58,4,7,6,13
"Otro(a) pariente (019)",3934,301,72,993,1675,205,140,261,287
"Trabajador(a) del hogar (020)",83,4,1,12,50,3,2,7,4
"Pensionista (021)",33,,,4,16,1,3,6,3
"Otro(a) no pariente (022)",715,29,7,100,294,41,67,79,98
"Mujeres (024)",68829,8119,1584,21783,23405,2697,2446,3556,5239
"Jefe o Jefa (025)",9891,1845,11,2968,2751,324,448,436,1108
"Esposa(o)/ compa¤era(o) (026)",20926,1988,24,6740,7713,723,970,772,1996
"Hijo(a)/ hijastro(a) (027)",29533,2929,1262,9614,10218,1266,746,1906,1592
"Yerno/ nuera (028)",954,7,3,120,516,65,68,59,116
"Nieto(a) (029)",2317,464,203,926,568,56,18,52,30
"Padres/ suegros (030)",766,455,,227,62,6,4,7,5
"Otro(a) pariente (031)",3715,380,73,1043,1305,216,155,257,286
"Trabajador(a) del hogar (032)",112,7,1,36,60,2,1,2,3
"Pensionista (033)",12,1,,2,4,2,,2,1
"Otro(a) no pariente (034)",603,43,7,107,208,37,36,63,102
,,,,,,,,,
"URBANA (036)",103905,8750,2488,28287,38545,4725,4398,6628,10084
"Jefe o Jefa (037)",28011,1696,25,6454,10959,1344,1621,1695,4217
"Esposa(o)/ compa¤era(o) (038)",16704,1073,22,4426,6520,740,985,848,2090
"Hijo(a)/ hijastro(a) (039)",45988,4295,2002,13987,16484,2007,1240,3239,2734
"Yerno/ nuera (040)",1283,9,3,98,655,86,121,91,220
"Nieto(a) (041)",3519,724,308,1375,850,74,43,99,46
"Padres/ suegros (042)",845,391,,296,106,10,11,13,18
"Otro(a) pariente (043)",6164,489,116,1444,2407,385,275,490,558
