"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia YAULI (000)",901,234,667
"De 14 a 29 años (001)",499,186,313
"De 30 a 44 años (002)",278,40,238
"De 45 a 64 años (003)",118,8,110
"De 65 y más años (004)",6,,6
"Hombres (005)",667,158,509
"De 14 a 29 años (006)",348,124,224
"De 30 a 44 años (007)",212,28,184
"De 45 a 64 años (008)",101,6,95
"De 65 y más años (009)",6,,6
"Mujeres (010)",234,76,158
"De 14 a 29 años (011)",151,62,89
"De 30 a 44 años (012)",66,12,54
"De 45 a 64 años (013)",17,2,15
,,,
"AREA URBANA (015)",810,210,600
"De 14 a 29 años (016)",448,166,282
"De 30 a 44 años (017)",251,37,214
"De 45 a 64 años (018)",105,7,98
"De 65 y más años (019)",6,,6
"Hombres (020)",591,139,452
"De 14 a 29 años (021)",307,109,198
"De 30 a 44 años (022)",189,25,164
"De 45 a 64 años (023)",89,5,84
"De 65 y más años (024)",6,,6
"Mujeres (025)",219,71,148
"De 14 a 29 años (026)",141,57,84
"De 30 a 44 años (027)",62,12,50
"De 45 a 64 años (028)",16,2,14
,,,
"AREA RURAL (030)",91,24,67
"De 14 a 29 años (031)",51,20,31
"De 30 a 44 años (032)",27,3,24
"De 45 a 64 años (033)",13,1,12
"Hombres (035)",76,19,57
"De 14 a 29 años (036)",41,15,26
"De 30 a 44 años (037)",23,3,20
"De 45 a 64 años (038)",12,1,11
"Mujeres (040)",15,5,10
"De 14 a 29 años (041)",10,5,5
"De 30 a 44 años (042)",4,,4
"De 45 a 64 años (043)",1,,1
