"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAYTARA (000)",21756,392,7226,4444,3703,3402,2589
"Casa independiente (001)",17146,299,5352,3513,2988,2772,2222
"Departamento en edificio (002)",24,2,7,5,5,3,2
"Vivienda en quinta (003)",61,1,22,13,14,7,4
"Vivienda en casa de vecindad (004)",105,3,31,29,24,13,5
"Choza o cabaña (005)",4387,85,1806,874,665,602,355
"Vivienda improvisada (006)",5,,,1,,4,
"Local no destinado para hab.humana (007)",18,1,4,5,6,1,1
"Otro tipo (008)",10,1,4,4,1,,
,,,,,,,
"URBANA (009)",6453,120,2015,1523,1187,948,660
"Casa independiente (010)",6253,114,1953,1473,1144,920,649
"Departamento en edificio (011)",24,2,7,5,5,3,2
"Vivienda en quinta (012)",61,1,22,13,14,7,4
"Vivienda en casa de vecindad (013)",105,3,31,29,24,13,5
"Vivienda improvisada (015)",5,,,1,,4,
"Local no destinado para hab.humana (016)",4,,2,1,,1,
"Otro tipo (017)",1,,,1,,,
,,,,,,,
"RURAL (018)",15303,272,5211,2921,2516,2454,1929
"Casa independiente (019)",10893,185,3399,2040,1844,1852,1573
"Choza o cabaña (023)",4387,85,1806,874,665,602,355
"Local no destinado para hab.humana (025)",14,1,2,4,6,,1
"Otro tipo (026)",9,1,4,3,1,,
