"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUAMALIES (000)",66450,65189,990,271
"Hombres (001)",33686,33124,417,145
"Mujeres (002)",32764,32065,573,126
"Menores de 1 año (003)",1375,1144,168,63
"Hombres (004)",694,569,90,35
"Mujeres (005)",681,575,78,28
"De 1 a 5 años (006)",8506,7989,343,174
"Hombres (007)",4318,4048,179,91
"Mujeres (008)",4188,3941,164,83
"De 6 a 14 años (009)",17109,17068,28,13
"Hombres (010)",8789,8759,21,9
"Mujeres (011)",8320,8309,7,4
"De 15 a 29 años (012)",15782,15748,33,1
"Hombres (013)",8121,8104,17,
"Mujeres (014)",7661,7644,16,1
"De 30 a 44 años (015)",11257,11193,59,5
"Hombres (016)",5541,5514,23,4
"Mujeres (017)",5716,5679,36,1
"De 45 a 64 años (018)",8552,8442,103,7
"Hombres (019)",4384,4351,29,4
"Mujeres (020)",4168,4091,74,3
"De 65 a más años (021)",3869,3605,256,8
"Hombres (022)",1839,1779,58,2
"Mujeres (023)",2030,1826,198,6
,,,,
"URBANA (024)",18696,18444,171,81
"Hombres (025)",9235,9122,66,47
"Mujeres (026)",9461,9322,105,34
"Menores de 1 año (027)",366,304,39,23
"Hombres (028)",192,159,22,11
"Mujeres (029)",174,145,17,12
"De 1 a 5 años (030)",2167,2072,42,53
"Hombres (031)",1109,1056,20,33
"Mujeres (032)",1058,1016,22,20
"De 6 a 14 años (033)",4765,4758,4,3
"Hombres (034)",2426,2420,3,3
"Mujeres (035)",2339,2338,1,
"De 15 a 29 años (036)",4395,4390,5,
"Hombres (037)",2149,2148,1,
"Mujeres (038)",2246,2242,4,
"De 30 a 44 años (039)",3414,3406,8,
"Hombres (040)",1612,1608,4,
"Mujeres (041)",1802,1798,4,
"De 45 a 64 años (042)",2452,2439,11,2
"Hombres (043)",1230,1227,3,
"Mujeres (044)",1222,1212,8,2
"De 65 a más años (045)",1137,1075,62,
"Hombres (046)",517,504,13,
"Mujeres (047)",620,571,49,
,,,,
"RURAL (048)",47754,46745,819,190
"Hombres (049)",24451,24002,351,98
"Mujeres (050)",23303,22743,468,92
"Menores de 1 año (051)",1009,840,129,40
"Hombres (052)",502,410,68,24
"Mujeres (053)",507,430,61,16
"De 1 a 5 años (054)",6339,5917,301,121
"Hombres (055)",3209,2992,159,58
"Mujeres (056)",3130,2925,142,63
"De 6 a 14 años (057)",12344,12310,24,10
"Hombres (058)",6363,6339,18,6
"Mujeres (059)",5981,5971,6,4
"De 15 a 29 años (060)",11387,11358,28,1
"Hombres (061)",5972,5956,16,
"Mujeres (062)",5415,5402,12,1
"De 30 a 44 años (063)",7843,7787,51,5
"Hombres (064)",3929,3906,19,4
"Mujeres (065)",3914,3881,32,1
"De 45 a 64 años (066)",6100,6003,92,5
"Hombres (067)",3154,3124,26,4
"Mujeres (068)",2946,2879,66,1
"De 65 a más años (069)",2732,2530,194,8
"Hombres (070)",1322,1275,45,2
"Mujeres (071)",1410,1255,149,6
