"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUACAYBAMBA (000)",20408,432,8540,4304,3428,2494,1210
"Hombres (001)",10201,214,4353,2177,1658,1234,565
"Mujeres (002)",10207,218,4187,2127,1770,1260,645
"Viviendas particulares (003)",20321,431,8538,4275,3386,2482,1209
"Hombres (004)",10132,214,4353,2157,1620,1224,564
"Mujeres (005)",10189,217,4185,2118,1766,1258,645
"Viviendas colectivas (006)",50,1,2,11,26,10,
"Hombres (007)",41,,,8,25,8,
"Mujeres (008)",9,1,2,3,1,2,
"Otro tipo (009)",37,,,18,16,2,1
"Hombres (010)",28,,,12,13,2,1
"Mujeres (011)",9,,,6,3,,
,,,,,,,
"URBANA (012)",3704,64,1373,831,745,489,202
"Hombres (013)",1864,27,687,418,373,265,94
"Mujeres (014)",1840,37,686,413,372,224,108
"Viviendas particulares (015)",3617,63,1371,802,703,477,201
"Hombres (016)",1795,27,687,398,335,255,93
"Mujeres (017)",1822,36,684,404,368,222,108
"Viviendas colectivas (018)",50,1,2,11,26,10,
"Hombres (019)",41,,,8,25,8,
"Mujeres (020)",9,1,2,3,1,2,
"Otro tipo (021)",37,,,18,16,2,1
"Hombres (022)",28,,,12,13,2,1
"Mujeres (023)",9,,,6,3,,
,,,,,,,
"RURAL (024)",16704,368,7167,3473,2683,2005,1008
"Hombres (025)",8337,187,3666,1759,1285,969,471
"Mujeres (026)",8367,181,3501,1714,1398,1036,537
"Viviendas particulares (027)",16704,368,7167,3473,2683,2005,1008
"Hombres (028)",8337,187,3666,1759,1285,969,471
"Mujeres (029)",8367,181,3501,1714,1398,1036,537
