"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CHINCHEROS",,,,,,,
"Viviendas particulares (001)",13194,1022,117,116,9435,2124,380
"Ocupantes presentes (002)",51325,3355,430,451,37469,8259,1361
"Casa independiente",,,,,,,
"Viviendas particulares (004)",12923,993,117,109,9277,2082,345
"Ocupantes presentes (005)",50712,3261,430,434,37138,8184,1265
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1,,,,1,,
"Ocupantes presentes (008)",6,,,,6,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",2,1,,,1,,
"Ocupantes presentes (011)",9,3,,,6,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",30,19,,1,9,,1
"Ocupantes presentes (014)",109,57,,6,43,,3
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",228,7,,6,141,40,34
"Ocupantes presentes (017)",459,25,,11,262,68,93
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",2,,,,2,,
"Ocupantes presentes (020)",4,,,,4,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,1,,,4,2,
"Ocupantes presentes (023)",19,2,,,10,7,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",1,1,,,,,
"Ocupantes presentes (026)",7,7,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",4158,562,15,64,2833,561,123
"Ocupantes presentes (029)",16336,1854,47,254,11404,2301,476
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4121,542,15,63,2820,559,122
"Ocupantes presentes (032)",16201,1794,47,248,11345,2294,473
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1,,,,1,,
"Ocupantes presentes (035)",6,,,,6,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",2,1,,,1,,
"Ocupantes presentes (038)",9,3,,,6,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",30,19,,1,9,,1
"Ocupantes presentes (041)",109,57,,6,43,,3
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",2,,,,2,,
"Ocupantes presentes (047)",4,,,,4,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,,,,,2,
"Ocupantes presentes (050)",7,,,,,7,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",9036,460,102,52,6602,1563,257
"Ocupantes presentes (056)",34989,1501,383,197,26065,5958,885
"Casa independiente",,,,,,,
"Viviendas particulares (058)",8802,451,102,46,6457,1523,223
"Ocupantes presentes (059)",34511,1467,383,186,25793,5890,792
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",228,7,,6,141,40,34
"Ocupantes presentes (071)",459,25,,11,262,68,93
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",5,1,,,4,,
"Ocupantes presentes (077)",12,2,,,10,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,1,,,,,
"Ocupantes presentes (080)",7,7,,,,,
