"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHOTA (000)",150794,31186,3732,76858,29610,1859,3354,1174,3021
"Quechua (001)",404,138,4,204,32,3,12,3,8
"Aymara (002)",22,8,1,8,3,,,,2
"Ashaninca (003)",16,4,2,8,1,1,,,
"Otra lengua nativa (004)",48,2,,19,22,1,2,,2
"Castellano (005)",149816,30627,3721,76558,29541,1853,3340,1171,3005
"Idioma extranjero (006)",4,,,,,,,,4
"Es sordomudo/a (007)",484,407,4,61,11,1,,,
"Hombres (009)",73069,9246,1872,39236,17174,1045,1958,683,1855
"Quechua (010)",213,44,3,122,21,3,10,3,7
"Aymara (011)",9,2,1,3,2,,,,1
"Ashaninca (012)",5,,,5,,,,,
"Otra lengua nativa (013)",33,1,,8,21,1,1,,1
"Castellano (014)",72564,9003,1866,39062,17123,1041,1947,680,1842
"Idioma extranjero (015)",4,,,,,,,,4
"Es sordomudo/a (016)",241,196,2,36,7,,,,
"Mujeres (018)",77725,21940,1860,37622,12436,814,1396,491,1166
"Quechua (019)",191,94,1,82,11,,2,,1
"Aymara (020)",13,6,,5,1,,,,1
"Ashaninca (021)",11,4,2,3,1,1,,,
"Otra lengua nativa (022)",15,1,,11,1,,1,,1
"Castellano (023)",77252,21624,1855,37496,12418,812,1393,491,1163
"Es sordomudo/a (025)",243,211,2,25,4,1,,,
,,,,,,,,,
"URBANA (027)",30626,3462,836,10782,8883,1052,2302,853,2456
"Quechua (028)",30,1,1,6,13,1,3,2,3
"Aymara (029)",9,1,,3,3,,,,2
"Ashaninca (030)",6,2,,3,1,,,,
"Otra lengua nativa (031)",15,,,8,3,,2,,2
"Castellano (032)",30524,3432,833,10754,8859,1051,2297,851,2447
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",40,26,2,8,4,,,,
"Hombres (036)",14944,1028,420,5287,4605,525,1186,446,1447
"Quechua (037)",18,1,1,4,6,1,1,2,2
"Aymara (038)",5,,,2,2,,,,1
"Ashaninca (039)",2,,,2,,,,,
"Otra lengua nativa (040)",7,,,3,2,,1,,1
"Castellano (041)",14889,1014,417,5271,4594,524,1184,444,1441
"Idioma extranjero (042)",2,,,,,,,,2
"Es sordomudo/a (043)",21,13,2,5,1,,,,
"Mujeres (045)",15682,2434,416,5495,4278,527,1116,407,1009
"Quechua (046)",12,,,2,7,,2,,1
"Aymara (047)",4,1,,1,1,,,,1
"Ashaninca (048)",4,2,,1,1,,,,
"Otra lengua nativa (049)",8,,,5,1,,1,,1
"Castellano (050)",15635,2418,416,5483,4265,527,1113,407,1006
"Es sordomudo/a (052)",19,13,,3,3,,,,
,,,,,,,,,
"RURAL (054)",120168,27724,2896,66076,20727,807,1052,321,565
"Quechua (055)",374,137,3,198,19,2,9,1,5
"Aymara (056)",13,7,1,5,,,,,
"Ashaninca (057)",10,2,2,5,,1,,,
"Otra lengua nativa (058)",33,2,,11,19,1,,,
"Castellano (059)",119292,27195,2888,65804,20682,802,1043,320,558
"Idioma extranjero (060)",2,,,,,,,,2
"Es sordomudo/a (061)",444,381,2,53,7,1,,,
"Hombres (063)",58125,8218,1452,33949,12569,520,772,237,408
"Quechua (064)",195,43,2,118,15,2,9,1,5
"Aymara (065)",4,2,1,1,,,,,
"Ashaninca (066)",3,,,3,,,,,
"Otra lengua nativa (067)",26,1,,5,19,1,,,
"Castellano (068)",57675,7989,1449,33791,12529,517,763,236,401
"Idioma extranjero (069)",2,,,,,,,,2
"Es sordomudo/a (070)",220,183,,31,6,,,,
"Mujeres (072)",62043,19506,1444,32127,8158,287,280,84,157
"Quechua (073)",179,94,1,80,4,,,,
"Aymara (074)",9,5,,4,,,,,
"Ashaninca (075)",7,2,2,2,,1,,,
"Otra lengua nativa (076)",7,1,,6,,,,,
"Castellano (077)",61617,19206,1439,32013,8153,285,280,84,157
"Es sordomudo/a (079)",224,198,2,22,1,1,,,
