"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANCAVELICA (000)",74199,10535,23309,18414,21941
"Asiste actualmente (001)",52188,3741,22368,17045,9034
"No asiste (002)",22011,6794,941,1369,12907
"Hombres (004)",36991,5345,11741,9262,10643
"Asiste actualmente (005)",26710,1900,11260,8784,4766
"No asiste (006)",10281,3445,481,478,5877
"Mujeres (008)",37208,5190,11568,9152,11298
"Asiste actualmente (009)",25478,1841,11108,8261,4268
"No asiste (010)",11730,3349,460,891,7030
,,,,,
"URBANA (012)",29669,3597,8424,7501,10147
"Asiste actualmente (013)",22621,1538,8169,7189,5725
"No asiste (014)",7048,2059,255,312,4422
"Hombres (016)",14879,1795,4305,3806,4973
"Asiste actualmente (017)",11455,758,4163,3665,2869
"No asiste (018)",3424,1037,142,141,2104
"Mujeres (020)",14790,1802,4119,3695,5174
"Asiste actualmente (021)",11166,780,4006,3524,2856
"No asiste (022)",3624,1022,113,171,2318
,,,,,
"RURAL (024)",44530,6938,14885,10913,11794
"Asiste actualmente (025)",29567,2203,14199,9856,3309
"No asiste (026)",14963,4735,686,1057,8485
"Hombres (028)",22112,3550,7436,5456,5670
"Asiste actualmente (029)",15255,1142,7097,5119,1897
"No asiste (030)",6857,2408,339,337,3773
"Mujeres (032)",22418,3388,7449,5457,6124
"Asiste actualmente (033)",14312,1061,7102,4737,1412
"No asiste (034)",8106,2327,347,720,4712
