"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CHICLAYO (000)",494395,479717,14678
"Hombres (001)",233137,226590,6547
"Mujeres (002)",261258,253127,8131
"De 18 a 29 años (003)",161430,152666,8764
"Hombres (004)",77246,72747,4499
"Mujeres (005)",84184,79919,4265
"De 30 a 44 años (006)",158368,156396,1972
"Hombres (007)",73230,72285,945
"Mujeres (008)",85138,84111,1027
"De 45 a 64 años (009)",123759,122290,1469
"Hombres (010)",58069,57517,552
"Mujeres (011)",65690,64773,917
"De 65 y más años (012)",50838,48365,2473
"Hombres (013)",24592,24041,551
"Mujeres (014)",26246,24324,1922
,,,
"URBANA (015)",464215,450772,13443
"Hombres (016)",217809,211786,6023
"Mujeres (017)",246406,238986,7420
"De 18 a 29 años (018)",151638,143539,8099
"Hombres (019)",72229,68081,4148
"Mujeres (020)",79409,75458,3951
"De 30 a 44 años (021)",148557,146778,1779
"Hombres (022)",68438,67567,871
"Mujeres (023)",80119,79211,908
"De 45 a 64 años (024)",116548,115250,1298
"Hombres (025)",54374,53863,511
"Mujeres (026)",62174,61387,787
"De 65 y más años (027)",47472,45205,2267
"Hombres (028)",22768,22275,493
"Mujeres (029)",24704,22930,1774
,,,
"RURAL (030)",30180,28945,1235
"Hombres (031)",15328,14804,524
"Mujeres (032)",14852,14141,711
"De 18 a 29 años (033)",9792,9127,665
"Hombres (034)",5017,4666,351
"Mujeres (035)",4775,4461,314
"De 30 a 44 años (036)",9811,9618,193
"Hombres (037)",4792,4718,74
"Mujeres (038)",5019,4900,119
"De 45 a 64 años (039)",7211,7040,171
"Hombres (040)",3695,3654,41
"Mujeres (041)",3516,3386,130
"De 65 y más años (042)",3366,3160,206
"Hombres (043)",1824,1766,58
"Mujeres (044)",1542,1394,148
