"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJATAMBO (000)",2864,2167,191,165,341
"Agric., ganadería, caza y silvicultura (001)",1618,1538,73,7,
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",142,2,7,,133
"Industrias manufactureras (004)",68,63,2,2,1
"Suministro de electricidad, gas y agua (005)",6,,,6,
"Construcción (006)",76,60,8,5,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",190,180,6,1,3
"Venta, mant.y rep. veh.autom y motoc. (008)",9,3,2,1,3
"Comercio al por mayor (009)",9,9,,,
"Comercio al por menor (010)",172,168,4,,
"Hoteles y restaurantes (011)",61,57,1,2,1
"Trans., almac. y comunicaciones (012)",29,17,4,5,3
"Intermediación financiera (013)",3,,1,,2
"Activid.inmobil., empres. y alquileres (014)",39,18,4,9,8
"Admin.pub. y defensa; p. segur soc.afil (015)",119,,,,119
"Enseñanza (016)",314,82,67,116,49
"Servicios sociales y de salud (017)",26,5,3,,18
"Otras activ. serv.comun.soc y personales (018)",44,34,6,3,1
"Hogares privados con servicio doméstico (019)",54,54,,,
"Actividad economica no especificada (021)",74,56,9,9,
"Hombres (022)",2085,1568,146,111,260
"Agric., ganadería, caza y silvicultura (023)",1337,1268,63,6,
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",138,2,7,,129
"Industrias manufactureras (026)",60,56,1,2,1
"Suministro de electricidad, gas y agua (027)",6,,,6,
"Construcción (028)",76,60,8,5,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",90,82,4,1,3
"Venta, mant.y rep. veh.autom y motoc. (030)",9,3,2,1,3
"Comercio al por mayor (031)",7,7,,,
"Comercio al por menor (032)",74,72,2,,
"Hoteles y restaurantes (033)",4,3,,1,
"Trans., almac. y comunicaciones (034)",27,16,3,5,3
"Intermediación financiera (035)",2,,,,2
"Activid.inmobil., empres. y alquileres (036)",31,15,3,5,8
"Admin.pub. y defensa; p. segur soc.afil (037)",84,,,,84
"Enseñanza (038)",161,24,43,71,23
"Servicios sociales y de salud (039)",9,4,2,,3
"Otras activ. serv.comun.soc y personales (040)",19,11,5,2,1
"Hogares privados con servicio doméstico (041)",3,3,,,
"Actividad economica no especificada (043)",37,23,7,7,
"Mujeres (044)",779,599,45,54,81
