"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MOHO (000)",17072,16489,583
"Hombres (001)",8095,7907,188
"Mujeres (002)",8977,8582,395
"De 18 a 29 años (003)",3800,3587,213
"Hombres (004)",1848,1747,101
"Mujeres (005)",1952,1840,112
"De 30 a 44 años (006)",4415,4365,50
"Hombres (007)",2118,2101,17
"Mujeres (008)",2297,2264,33
"De 45 a 64 años (009)",4906,4839,67
"Hombres (010)",2293,2270,23
"Mujeres (011)",2613,2569,44
"De 65 y más años (012)",3951,3698,253
"Hombres (013)",1836,1789,47
"Mujeres (014)",2115,1909,206
,,,
"URBANA (015)",4657,4548,109
"Hombres (016)",2383,2334,49
"Mujeres (017)",2274,2214,60
"De 18 a 29 años (018)",1297,1256,41
"Hombres (019)",651,630,21
"Mujeres (020)",646,626,20
"De 30 a 44 años (021)",1476,1469,7
"Hombres (022)",737,734,3
"Mujeres (023)",739,735,4
"De 45 a 64 años (024)",1235,1215,20
"Hombres (025)",664,652,12
"Mujeres (026)",571,563,8
"De 65 y más años (027)",649,608,41
"Hombres (028)",331,318,13
"Mujeres (029)",318,290,28
,,,
"RURAL (030)",12415,11941,474
"Hombres (031)",5712,5573,139
"Mujeres (032)",6703,6368,335
"De 18 a 29 años (033)",2503,2331,172
"Hombres (034)",1197,1117,80
"Mujeres (035)",1306,1214,92
"De 30 a 44 años (036)",2939,2896,43
"Hombres (037)",1381,1367,14
"Mujeres (038)",1558,1529,29
"De 45 a 64 años (039)",3671,3624,47
"Hombres (040)",1629,1618,11
"Mujeres (041)",2042,2006,36
"De 65 y más años (042)",3302,3090,212
"Hombres (043)",1505,1471,34
"Mujeres (044)",1797,1619,178
