"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAROCHIRI (000)",69102,1256,19090,18147,13975,10940,5694
"Casa independiente (001)",63469,1108,17388,16419,12856,10256,5442
"Departamento en edificio (002)",605,15,192,155,125,102,16
"Vivienda en quinta (003)",1444,49,480,490,286,109,30
"Vivienda en casa de vecindad (004)",1522,49,465,463,289,172,84
"Choza o cabaña (005)",1377,23,350,430,261,218,95
"Vivienda improvisada (006)",515,8,172,147,107,61,20
"Local no destinado para hab.humana (007)",128,4,39,29,37,17,2
"Otro tipo (008)",42,,4,14,14,5,5
,,,,,,,
"URBANA (009)",47675,823,12959,12534,9776,7650,3933
"Casa independiente (010)",43493,699,11619,11259,8940,7195,3781
"Departamento en edificio (011)",605,15,192,155,125,102,16
"Vivienda en quinta (012)",1444,49,480,490,286,109,30
"Vivienda en casa de vecindad (013)",1522,49,465,463,289,172,84
"Vivienda improvisada (015)",515,8,172,147,107,61,20
"Local no destinado para hab.humana (016)",87,3,30,19,24,10,1
"Otro tipo (017)",9,,1,1,5,1,1
,,,,,,,
"RURAL (018)",21427,433,6131,5613,4199,3290,1761
"Casa independiente (019)",19976,409,5769,5160,3916,3061,1661
"Choza o cabaña (023)",1377,23,350,430,261,218,95
"Local no destinado para hab.humana (025)",41,1,9,10,13,7,1
"Otro tipo (026)",33,,3,13,9,4,4
