"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",1272,90,592,355,187,48
"Sin nivel (001)",72,14,12,18,15,13
"Educación inicial (002)",3,,3,,,
"Primaria (003)",522,61,184,142,105,30
"Secundaria (004)",486,15,292,129,47,3
"Superior no univ. incompleta (005)",49,,26,14,8,1
"Superior no univ. completa (006)",66,,30,27,8,1
"Superior univ. incompleta (007)",30,,21,8,1,
"Superior univ. completa (008)",44,,24,17,3,
"Hombres (010)",951,55,420,274,165,37
"Sin nivel (011)",52,8,8,16,12,8
"Educación inicial (012)",2,,2,,,
"Primaria (013)",407,39,138,112,94,24
"Secundaria (014)",366,8,213,102,40,3
"Superior no univ. incompleta (015)",32,,12,12,7,1
"Superior no univ. completa (016)",45,,19,17,8,1
"Superior univ. incompleta (017)",23,,15,7,1,
"Superior univ. completa (018)",24,,13,8,3,
"Mujeres (020)",321,35,172,81,22,11
"Sin nivel (021)",20,6,4,2,3,5
"Educación inicial (022)",1,,1,,,
"Primaria (023)",115,22,46,30,11,6
"Secundaria (024)",120,7,79,27,7,
"Superior no univ. incompleta (025)",17,,14,2,1,
"Superior no univ. completa (026)",21,,11,10,,
"Superior univ. incompleta (027)",7,,6,1,,
"Superior univ. completa (028)",20,,11,9,,
,,,,,,
"Area Urbana (030)",924,46,450,269,123,36
"Sin nivel (031)",26,3,4,6,4,9
"Educación inicial (032)",3,,3,,,
"Primaria (033)",304,32,99,86,64,23
"Secundaria (034)",411,11,252,111,35,2
"Superior no univ. incompleta (035)",43,,20,14,8,1
"Superior no univ. completa (036)",65,,29,27,8,1
"Superior univ. incompleta (037)",29,,20,8,1,
"Superior univ. completa (038)",43,,23,17,3,
"Hombres (040)",651,29,295,195,103,29
"Sin nivel (041)",20,3,4,5,2,6
"Educación inicial (042)",2,,2,,,
"Primaria (043)",214,21,60,60,54,19
"Secundaria (044)",297,5,176,86,28,2
"Superior no univ. incompleta (045)",28,,8,12,7,1
"Superior no univ. completa (046)",44,,18,17,8,1
"Superior univ. incompleta (047)",22,,14,7,1,
"Superior univ. completa (048)",24,,13,8,3,
"Mujeres (050)",273,17,155,74,20,7
"Sin nivel (051)",6,,,1,2,3
"Educación inicial (052)",1,,1,,,
"Primaria (053)",90,11,39,26,10,4
"Secundaria (054)",114,6,76,25,7,
"Superior no univ. incompleta (055)",15,,12,2,1,
"Superior no univ. completa (056)",21,,11,10,,
"Superior univ. incompleta (057)",7,,6,1,,
"Superior univ. completa (058)",19,,10,9,,
,,,,,,
"Area Rural (060)",348,44,142,86,64,12
"Sin nivel (061)",46,11,8,12,11,4
"Primaria (063)",218,29,85,56,41,7
"Secundaria (064)",75,4,40,18,12,1
"Superior no univ. incompleta (065)",6,,6,,,
"Superior no univ. completa (066)",1,,1,,,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",300,26,125,79,62,8
"Sin nivel (071)",32,5,4,11,10,2
"Primaria (073)",193,18,78,52,40,5
"Secundaria (074)",69,3,37,16,12,1
"Superior no univ. incompleta (075)",4,,4,,,
"Superior no univ. completa (076)",1,,1,,,
"Superior univ. incompleta (077)",1,,1,,,
"Mujeres (080)",48,18,17,7,2,4
"Sin nivel (081)",14,6,4,1,1,2
"Primaria (083)",25,11,7,4,1,2
"Secundaria (084)",6,1,3,2,,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior univ. completa (088)",1,,1,,,
