"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ESPINAR (000)",1892,1427,465
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",71,71,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",135,129,6
"Cárcel, centro de readaptación social (005)",38,38,
"Aldea infantil, orfelinato, etc (007)",25,25,
"Otro (008)",1510,1061,449
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",112,102,10
