"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASMA (000)",268,207,61
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",42,42,
"Hospital, clinica (004)",9,9,
"Asilo (006)",73,73,
"Aldea infantil, orfelinato, etc (007)",21,21,
"Otro (008)",89,34,55
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",34,28,6
