"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5488,66,2272,1756,429,153,71,24,4,,713
"Conviviente (001)",1569,17,663,539,113,36,14,5,,,182
"Separado(a) (002)",254,5,90,95,29,8,5,1,,,21
"Casado(a) (003)",2502,29,1103,841,189,72,35,13,2,,218
"Viudo(a) (004)",772,11,341,196,66,21,13,3,1,,120
"Divorciado(a) (005)",26,,8,12,2,,1,,,,3
"Soltero(a) (006)",365,4,67,73,30,16,3,2,1,,169
,,,,,,,,,,,
"URBANA (008)",909,5,304,300,112,37,16,3,2,,130
"Conviviente (009)",284,1,105,101,28,11,4,2,,,32
"Separado(a) (010)",46,,14,17,6,4,3,,,,2
"Casado(a) (011)",409,3,147,143,55,17,8,1,1,,34
"Viudo(a) (012)",79,1,33,20,11,1,1,,,,12
"Divorciado(a) (013)",3,,1,1,1,,,,,,
"Soltero(a) (014)",88,,4,18,11,4,,,1,,50
,,,,,,,,,,,
"RURAL (016)",4579,61,1968,1456,317,116,55,21,2,,583
"Conviviente (017)",1285,16,558,438,85,25,10,3,,,150
"Separado(a) (018)",208,5,76,78,23,4,2,1,,,19
"Casado(a) (019)",2093,26,956,698,134,55,27,12,1,,184
"Viudo(a) (020)",693,10,308,176,55,20,12,3,1,,108
"Divorciado(a) (021)",23,,7,11,1,,1,,,,3
"Soltero(a) (022)",277,4,63,55,19,12,3,2,,,119
