"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANUCO (000)",3165,1819,1346
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",800,800,
"Casa pensión (003)",16,16,
"Hospital, clinica (004)",180,162,18
"Cárcel, centro de readaptación social (005)",1252,,1252
"Asilo (006)",20,20,
"Aldea infantil, orfelinato, etc (007)",191,125,66
"Otro (008)",414,404,10
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",292,292,
