"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA",,,,,,,,,
"Hogares (001)",5444,103,61,43,23,17,8,7,5182
"Ocupantes presentes (002)",23182,387,185,139,73,73,36,44,22245
"Casa independiente",,,,,,,,,
"Hogares (004)",5396,102,61,43,23,17,8,7,5135
"Ocupantes presentes (005)",22993,385,185,139,73,73,36,44,22058
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (016)",46,1,,,,,,,45
"Ocupantes presentes (017)",181,2,,,,,,,179
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",2,,,,,,,,2
"Ocupantes presentes (023)",8,,,,,,,,8
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",726,20,21,8,7,5,,2,663
"Ocupantes presentes (029)",2761,55,52,26,28,22,,10,2568
"Casa independiente",,,,,,,,,
"Hogares (031)",725,20,21,8,7,5,,2,662
"Ocupantes presentes (032)",2758,55,52,26,28,22,,10,2565
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",1,,,,,,,,1
"Ocupantes presentes (050)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4718,83,40,35,16,12,8,5,4519
"Ocupantes presentes (056)",20421,332,133,113,45,51,36,34,19677
"Casa independiente",,,,,,,,,
"Hogares (058)",4671,82,40,35,16,12,8,5,4473
"Ocupantes presentes (059)",20235,330,133,113,45,51,36,34,19493
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",46,1,,,,,,,45
"Ocupantes presentes (071)",181,2,,,,,,,179
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
