"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LUYA (000)",34203,6035,5727,6249,5460,4037,6695
"Conviviente (001)",7558,143,1750,2751,1597,712,605
"Separado(a) (002)",480,5,39,87,99,93,157
"Casado(a) (003)",11878,11,384,1935,2889,2642,4017
"Viudo(a) (004)",1592,,10,31,88,171,1292
"Divorciado(a) (005)",60,,1,5,7,16,31
"Soltero(a) (006)",12635,5876,3543,1440,780,403,593
"Hombres (008)",17785,3183,3129,3278,2876,2107,3212
"Conviviente (009)",3730,29,591,1492,881,394,343
"Separado(a) (010)",172,2,11,27,39,39,54
"Casado(a) (011)",5910,1,101,805,1416,1395,2192
"Viudo(a) (012)",414,,2,5,25,45,337
"Divorciado(a) (013)",31,,,2,2,5,22
"Soltero(a) (014)",7528,3151,2424,947,513,229,264
"Mujeres (016)",16418,2852,2598,2971,2584,1930,3483
"Conviviente (017)",3828,114,1159,1259,716,318,262
"Separado(a) (018)",308,3,28,60,60,54,103
"Casado(a) (019)",5968,10,283,1130,1473,1247,1825
"Viudo(a) (020)",1178,,8,26,63,126,955
"Divorciado(a) (021)",29,,1,3,5,11,9
"Soltero(a) (022)",5107,2725,1119,493,267,174,329
,,,,,,,
"URBANA (024)",14372,2472,2149,2485,2417,1761,3088
"Conviviente (025)",2837,44,584,1046,654,296,213
"Separado(a) (026)",205,3,9,40,43,38,72
"Casado(a) (027)",5255,5,132,773,1344,1162,1839
"Viudo(a) (028)",773,,5,13,37,83,635
"Divorciado(a) (029)",36,,1,2,5,12,16
"Soltero(a) (030)",5266,2420,1418,611,334,170,313
"Hombres (032)",7107,1270,1135,1208,1229,902,1363
"Conviviente (033)",1392,13,192,541,363,162,121
"Separado(a) (034)",68,2,2,13,16,18,17
"Casado(a) (035)",2577,,32,302,653,616,974
"Viudo(a) (036)",163,,1,1,8,18,135
"Divorciado(a) (037)",16,,,1,,4,11
"Soltero(a) (038)",2891,1255,908,350,189,84,105
"Mujeres (040)",7265,1202,1014,1277,1188,859,1725
"Conviviente (041)",1445,31,392,505,291,134,92
"Separado(a) (042)",137,1,7,27,27,20,55
"Casado(a) (043)",2678,5,100,471,691,546,865
"Viudo(a) (044)",610,,4,12,29,65,500
"Divorciado(a) (045)",20,,1,1,5,8,5
"Soltero(a) (046)",2375,1165,510,261,145,86,208
,,,,,,,
"RURAL (048)",19831,3563,3578,3764,3043,2276,3607
"Conviviente (049)",4721,99,1166,1705,943,416,392
"Separado(a) (050)",275,2,30,47,56,55,85
"Casado(a) (051)",6623,6,252,1162,1545,1480,2178
"Viudo(a) (052)",819,,5,18,51,88,657
"Divorciado(a) (053)",24,,,3,2,4,15
"Soltero(a) (054)",7369,3456,2125,829,446,233,280
"Hombres (056)",10678,1913,1994,2070,1647,1205,1849
"Conviviente (057)",2338,16,399,951,518,232,222
"Separado(a) (058)",104,,9,14,23,21,37
"Casado(a) (059)",3333,1,69,503,763,779,1218
"Viudo(a) (060)",251,,1,4,17,27,202
"Divorciado(a) (061)",15,,,1,2,1,11
"Soltero(a) (062)",4637,1896,1516,597,324,145,159
"Mujeres (064)",9153,1650,1584,1694,1396,1071,1758
"Conviviente (065)",2383,83,767,754,425,184,170
"Separado(a) (066)",171,2,21,33,33,34,48
"Casado(a) (067)",3290,5,183,659,782,701,960
"Viudo(a) (068)",568,,4,14,34,61,455
"Divorciado(a) (069)",9,,,2,,3,4
"Soltero(a) (070)",2732,1560,609,232,122,88,121
