"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LAURICOCHA (000)",7915,103,3304,2594,739,243,100,35,5,,792
"Catolica (001)",6111,79,2541,2000,561,193,75,28,3,,631
"Cristiana / Evangelica (002)",1752,24,749,581,166,48,25,7,2,,150
"Otra (003)",27,,9,8,5,1,,,,,4
"Ninguna (004)",25,,5,5,7,1,,,,,7
,,,,,,,,,,,
"URBANA (006)",1961,27,716,651,213,87,40,18,2,,207
"Catolica (007)",1496,20,526,498,165,73,32,16,1,,165
"Cristiana / Evangelica (008)",445,7,183,149,43,12,8,2,1,,40
"Otra (009)",16,,4,4,5,1,,,,,2
"Ninguna (010)",4,,3,,,1,,,,,
,,,,,,,,,,,
"RURAL (012)",5954,76,2588,1943,526,156,60,17,3,,585
"Catolica (013)",4615,59,2015,1502,396,120,43,12,2,,466
"Cristiana / Evangelica (014)",1307,17,566,432,123,36,17,5,1,,110
"Otra (015)",11,,5,4,,,,,,,2
"Ninguna (016)",21,,2,5,7,,,,,,7
