"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA CONVENCION (000)",166833,3112,55296,44027,32920,23039,8439
"Hombres (001)",88181,1577,28269,23421,17428,12820,4666
"Mujeres (002)",78652,1535,27027,20606,15492,10219,3773
"Viviendas particulares (003)",163558,3102,55029,42593,31901,22569,8364
"Hombres (004)",85678,1571,28139,22298,16603,12443,4624
"Mujeres (005)",77880,1531,26890,20295,15298,10126,3740
"Viviendas colectivas (006)",2152,9,192,1012,642,262,35
"Hombres (007)",1754,5,88,830,572,236,23
"Mujeres (008)",398,4,104,182,70,26,12
"Otro tipo (009)",1123,1,75,422,377,208,40
"Hombres (010)",749,1,42,293,253,141,19
"Mujeres (011)",374,,33,129,124,67,21
,,,,,,,
"URBANA (012)",49892,807,15429,14241,10812,6586,2017
"Hombres (013)",25156,425,7843,7034,5322,3486,1046
"Mujeres (014)",24736,382,7586,7207,5490,3100,971
"Viviendas particulares (015)",48050,797,15260,13458,10276,6308,1951
"Hombres (016)",23854,419,7762,6437,4936,3289,1011
"Mujeres (017)",24196,378,7498,7021,5340,3019,940
"Viviendas colectivas (018)",962,9,98,480,242,104,29
"Hombres (019)",731,5,42,391,193,83,17
"Mujeres (020)",231,4,56,89,49,21,12
"Otro tipo (021)",880,1,71,303,294,174,37
"Hombres (022)",571,1,39,206,193,114,18
"Mujeres (023)",309,,32,97,101,60,19
,,,,,,,
"RURAL (024)",116941,2305,39867,29786,22108,16453,6422
"Hombres (025)",63025,1152,20426,16387,12106,9334,3620
"Mujeres (026)",53916,1153,19441,13399,10002,7119,2802
"Viviendas particulares (027)",115508,2305,39769,29135,21625,16261,6413
"Hombres (028)",61824,1152,20377,15861,11667,9154,3613
"Mujeres (029)",53684,1153,19392,13274,9958,7107,2800
"Viviendas colectivas (030)",1190,,94,532,400,158,6
"Hombres (031)",1023,,46,439,379,153,6
"Mujeres (032)",167,,48,93,21,5,
"Otro tipo (033)",243,,4,119,83,34,3
"Hombres (034)",178,,3,87,60,27,1
"Mujeres (035)",65,,1,32,23,7,2
