"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CANCHIS (000)",46313,39098,7215
"De 3 a 5 años (001)",6537,677,5860
"De 6 a 11 años (002)",14620,13579,1041
"De 12 a 16 años (003)",12597,12527,70
"De 17 a 24 años (004)",12559,12315,244
"Hombres (005)",23376,19786,3590
"De 3 a 5 años (006)",3345,342,3003
"De 6 a 11 años (007)",7473,6972,501
"De 12 a 16 años (008)",6347,6322,25
"De 17 a 24 años (009)",6211,6150,61
"Mujeres (010)",22937,19312,3625
"De 3 a 5 años (011)",3192,335,2857
"De 6 a 11 años (012)",7147,6607,540
"De 12 a 16 años (013)",6250,6205,45
"De 17 a 24 años (014)",6348,6165,183
,,,
"URBANA (015)",28647,24655,3992
"De 3 a 5 años (016)",3873,446,3427
"De 6 a 11 años (017)",8833,8367,466
"De 12 a 16 años (018)",7691,7660,31
"De 17 a 24 años (019)",8250,8182,68
"Hombres (020)",14472,12477,1995
"De 3 a 5 años (021)",1964,219,1745
"De 6 a 11 años (022)",4520,4300,220
"De 12 a 16 años (023)",3920,3907,13
"De 17 a 24 años (024)",4068,4051,17
"Mujeres (025)",14175,12178,1997
"De 3 a 5 años (026)",1909,227,1682
"De 6 a 11 años (027)",4313,4067,246
"De 12 a 16 años (028)",3771,3753,18
"De 17 a 24 años (029)",4182,4131,51
,,,
"RURAL (030)",17666,14443,3223
"De 3 a 5 años (031)",2664,231,2433
"De 6 a 11 años (032)",5787,5212,575
"De 12 a 16 años (033)",4906,4867,39
"De 17 a 24 años (034)",4309,4133,176
"Hombres (035)",8904,7309,1595
"De 3 a 5 años (036)",1381,123,1258
"De 6 a 11 años (037)",2953,2672,281
"De 12 a 16 años (038)",2427,2415,12
"De 17 a 24 años (039)",2143,2099,44
"Mujeres (040)",8762,7134,1628
"De 3 a 5 años (041)",1283,108,1175
"De 6 a 11 años (042)",2834,2540,294
"De 12 a 16 años (043)",2479,2452,27
"De 17 a 24 años (044)",2166,2034,132
