"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARCOS (000)",14442,12749,974,356,363
"Empleado (001)",1668,667,446,255,300
"Obrero (002)",2029,1667,220,85,57
"Trabajador independiente (003)",7913,7751,162,,
"Empleador o patrono (004)",211,184,15,9,3
"Trabajador familiar no remunerado (005)",2299,2158,131,7,3
"Trabajador del hogar (006)",322,322,,,
"De 06 a 14 años (008)",563,497,59,7,
"Empleado (009)",11,8,,3,
"Obrero (010)",59,39,17,3,
"Trabajador independiente (011)",58,57,1,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",415,373,41,1,
"Trabajador del hogar (014)",19,19,,,
"De 15 a 29 años (016)",4626,4102,299,104,121
"Empleado (017)",519,273,92,62,92
"Obrero (018)",852,685,105,37,25
"Trabajador independiente (019)",1919,1868,51,,
"Empleador o patrono (020)",40,32,3,3,2
"Trabajador familiar no remunerado (021)",1128,1076,48,2,2
"Trabajador del hogar (022)",168,168,,,
"De 30 a 44 años (024)",4672,3935,425,150,162
"Empleado (025)",818,291,269,119,139
"Obrero (026)",623,507,66,27,23
"Trabajador independiente (027)",2702,2645,57,,
"Empleador o patrono (028)",60,49,7,4,
"Trabajador familiar no remunerado (029)",389,363,26,,
"Trabajador del hogar (030)",80,80,,,
"De 45 a 64 años (032)",3355,3022,166,91,76
"Empleado (033)",295,81,80,69,65
"Obrero (034)",396,346,24,17,9
"Trabajador independiente (035)",2270,2225,45,,
"Empleador o patrono (036)",72,67,2,2,1
"Trabajador familiar no remunerado (037)",281,262,15,3,1
"Trabajador del hogar (038)",41,41,,,
"De 65 y más años (040)",1226,1193,25,4,4
"Empleado (041)",25,14,5,2,4
"Obrero (042)",99,90,8,1,
"Trabajador independiente (043)",964,956,8,,
"Empleador o patrono (044)",38,35,3,,
"Trabajador familiar no remunerado (045)",86,84,1,1,
"Trabajador del hogar (046)",14,14,,,
,,,,,
"URBANA (048)",4343,3213,585,265,280
"Empleado (049)",1364,532,364,222,246
"Obrero (050)",536,377,91,37,31
"Trabajador independiente (051)",1978,1880,98,,
"Empleador o patrono (052)",63,42,14,5,2
"Trabajador familiar no remunerado (053)",247,227,18,1,1
"Trabajador del hogar (054)",155,155,,,
