"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ANTABAMBA",,,,,,,,,
"Viviendas particulares (001)",848,16,133,256,153,3,16,,271
"Ocupantes presentes (002)",2874,56,461,860,516,20,39,,922
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",810,16,128,238,145,3,15,,265
"Ocupantes presentes (005)",2768,56,447,812,491,20,38,,904
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",37,,5,17,8,,1,,6
"Ocupantes presentes (014)",105,,14,47,25,,1,,18
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,1,,,,,
"Ocupantes presentes (023)",1,,,1,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",813,16,130,256,153,3,15,,240
"Ocupantes presentes (029)",2776,56,450,860,516,20,38,,836
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",775,16,125,238,145,3,14,,234
"Ocupantes presentes (032)",2670,56,436,812,491,20,37,,818
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",37,,5,17,8,,1,,6
"Ocupantes presentes (041)",105,,14,47,25,,1,,18
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,1,,,,,
"Ocupantes presentes (050)",1,,,1,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",35,,3,,,,1,,31
"Ocupantes presentes (056)",98,,11,,,,1,,86
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",35,,3,,,,1,,31
"Ocupantes presentes (059)",98,,11,,,,1,,86
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
