"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TARMA (000)",30303,279,946,2092,3846,6571,9380,7189
"De 12 a 14 años (001)",23,,,,,,2,21
"De 15 a 19 años (002)",650,,,,,,401,249
"De 20 a 24 años (003)",2644,,,,,7,1641,996
"De 25 a 29 años (004)",3408,,,,,213,2199,996
"De 30 a 34 años (005)",3446,,,,1,695,1978,772
"De 35 a 39 años (006)",3779,,,,60,1295,1726,698
"De 40 a 44 años (007)",3242,,,1,271,1445,934,591
"De 45 a 49 años (008)",2743,,,20,518,1331,409,465
"De 50 y más años (009)",10368,279,946,2071,2996,1585,90,2401
"PEA (010)",11273,21,155,567,1454,2865,3297,2914
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",161,,,,,,97,64
"De 20 a 24 años (013)",810,,,,,3,436,371
"De 25 a 29 años (014)",1324,,,,,93,727,504
"De 30 a 34 años (015)",1399,,,,1,305,736,357
"De 35 a 39 años (016)",1674,,,,33,588,696,357
"De 40 a 44 años (017)",1532,,,1,138,691,408,294
"De 45 a 49 años (018)",1234,,,10,231,602,169,222
"De 50 y más años (019)",3138,21,155,556,1051,583,28,744
"Ocupada (020)",10924,20,155,565,1437,2796,3178,2773
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",149,,,,,,89,60
"De 20 a 24 años (023)",754,,,,,3,412,339
"De 25 a 29 años (024)",1238,,,,,86,691,461
"De 30 a 34 años (025)",1340,,,,1,287,712,340
"De 35 a 39 años (026)",1624,,,,30,570,680,344
"De 40 a 44 años (027)",1505,,,1,136,686,400,282
"De 45 a 49 años (028)",1214,,,10,228,591,167,218
"De 50 y más años (029)",3099,20,155,554,1042,573,27,728
"Desocupada (030)",349,1,,2,17,69,119,141
"De 15 a 19 años (032)",12,,,,,,8,4
"De 20 a 24 años (033)",56,,,,,,24,32
"De 25 a 29 años (034)",86,,,,,7,36,43
"De 30 a 34 años (035)",59,,,,,18,24,17
"De 35 a 39 años (036)",50,,,,3,18,16,13
"De 40 a 44 años (037)",27,,,,2,5,8,12
"De 45 a 49 años (038)",20,,,,3,11,2,4
"De 50 y más años (039)",39,1,,2,9,10,1,16
"No PEA (040)",19030,258,791,1525,2392,3706,6083,4275
"De 12 a 14 años (041)",22,,,,,,2,20
"De 15 a 19 años (042)",489,,,,,,304,185
"De 20 a 24 años (043)",1834,,,,,4,1205,625
"De 25 a 29 años (044)",2084,,,,,120,1472,492
"De 30 a 34 años (045)",2047,,,,,390,1242,415
"De 35 a 39 años (046)",2105,,,,27,707,1030,341
