"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YAUYOS (000)",24478,4964,5752,5712,4599,3451
"Hombres (001)",13446,2573,3318,3383,2516,1656
"Mujeres (002)",11032,2391,2434,2329,2083,1795
"PEA (003)",13042,160,3395,4447,3353,1687
"Hombres (004)",8738,90,2339,3101,2184,1024
"Mujeres (005)",4304,70,1056,1346,1169,663
"Ocupada (006)",12764,155,3255,4363,3317,1674
"Hombres (007)",8543,87,2250,3042,2151,1013
"Mujeres (008)",4221,68,1005,1321,1166,661
"Desocupada (009)",278,5,140,84,36,13
"Hombres (010)",195,3,89,59,33,11
"Mujeres (011)",83,2,51,25,3,2
"No PEA (012)",11436,4804,2357,1265,1246,1764
"Hombres (013)",4708,2483,979,282,332,632
"Mujeres (014)",6728,2321,1378,983,914,1132
,,,,,,
"URBANA (018)",14010,3038,3124,3079,2606,2163
"Hombres (019)",7113,1583,1630,1550,1339,1011
"Mujeres (020)",6897,1455,1494,1529,1267,1152
"PEA (021)",6803,104,1609,2248,1838,1004
"Hombres (022)",4156,55,997,1363,1138,603
"Mujeres (023)",2647,49,612,885,700,401
"Ocupada (024)",6618,103,1516,2192,1816,991
"Hombres (025)",4024,55,935,1324,1118,592
"Mujeres (026)",2594,48,581,868,698,399
"Desocupada (027)",185,1,93,56,22,13
"Hombres (028)",132,,62,39,20,11
"Mujeres (029)",53,1,31,17,2,2
"No PEA (030)",7207,2934,1515,831,768,1159
"Hombres (031)",2957,1528,633,187,201,408
"Mujeres (032)",4250,1406,882,644,567,751
,,,,,,
"RURAL (036)",10468,1926,2628,2633,1993,1288
"Hombres (037)",6333,990,1688,1833,1177,645
"Mujeres (038)",4135,936,940,800,816,643
"PEA (039)",6239,56,1786,2199,1515,683
"Hombres (040)",4582,35,1342,1738,1046,421
"Mujeres (041)",1657,21,444,461,469,262
"Ocupada (042)",6146,52,1739,2171,1501,683
"Hombres (043)",4519,32,1315,1718,1033,421
"Mujeres (044)",1627,20,424,453,468,262
"Desocupada (045)",93,4,47,28,14,
"Hombres (046)",63,3,27,20,13,
"Mujeres (047)",30,1,20,8,1,
"No PEA (048)",4229,1870,842,434,478,605
"Hombres (049)",1751,955,346,95,131,224
"Mujeres (050)",2478,915,496,339,347,381
