"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,56,2102,1579,419,112,38,20,3,,451
"Catolica (001)",3761,41,1663,1223,350,86,31,12,2,,353
"Cristiana / Evangelica (002)",983,15,428,344,65,24,7,8,1,,91
"Otra (003)",14,,3,7,2,1,,,,,1
"Ninguna (004)",22,,8,5,2,1,,,,,6
,,,,,,,,,,,
"URBANA (006)",897,7,389,292,78,26,9,5,,,91
"Catolica (007)",604,5,263,186,63,19,6,2,,,60
"Cristiana / Evangelica (008)",278,2,122,100,13,7,3,3,,,28
"Otra (009)",2,,,2,,,,,,,
"Ninguna (010)",13,,4,4,2,,,,,,3
,,,,,,,,,,,
"RURAL (012)",3883,49,1713,1287,341,86,29,15,3,,360
"Catolica (013)",3157,36,1400,1037,287,67,25,10,2,,293
"Cristiana / Evangelica (014)",705,13,306,244,52,17,4,5,1,,63
"Otra (015)",12,,3,5,2,1,,,,,1
"Ninguna (016)",9,,4,1,,1,,,,,3
