"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BOLOGNESI (000)",22998,1394,2812,1016,17828
"Conviviente (001)",6521,318,761,321,5137
"Separado(a) (002)",678,25,55,16,583
"Casado(a) (003)",6546,218,1140,333,4874
"Viudo(a) (004)",1215,37,63,27,1088
"Divorciado(a) (005)",77,2,10,3,62
"Soltero(a) (006)",7961,794,783,316,6084
"Hombres (008)",12056,625,1897,775,8803
"Conviviente (009)",3446,107,565,252,2535
"Separado(a) (010)",209,6,32,11,161
"Casado(a) (011)",3507,91,764,261,2407
"Viudo(a) (012)",303,12,21,8,262
"Divorciado(a) (013)",35,1,8,2,24
"Soltero(a) (014)",4556,408,507,241,3414
"Mujeres (016)",10942,769,915,241,9025
"Conviviente (017)",3075,211,196,69,2602
"Separado(a) (018)",469,19,23,5,422
"Casado(a) (019)",3039,127,376,72,2467
"Viudo(a) (020)",912,25,42,19,826
"Divorciado(a) (021)",42,1,2,1,38
"Soltero(a) (022)",3405,386,276,75,2670
,,,,,
"URBANA (024)",14631,972,1880,727,11075
"Conviviente (025)",3783,218,440,208,2925
"Separado(a) (026)",481,19,46,13,403
"Casado(a) (027)",4229,149,789,250,3050
"Viudo(a) (028)",785,31,56,26,672
"Divorciado(a) (029)",53,1,6,2,44
"Soltero(a) (030)",5300,554,543,228,3981
"Hombres (032)",7388,447,1060,524,5374
"Conviviente (033)",1914,80,260,151,1428
"Separado(a) (034)",146,6,24,8,108
"Casado(a) (035)",2175,68,450,185,1479
"Viudo(a) (036)",173,9,15,7,142
"Divorciado(a) (037)",18,,4,1,13
"Soltero(a) (038)",2962,284,307,172,2204
"Mujeres (040)",7243,525,820,203,5701
"Conviviente (041)",1869,138,180,57,1497
"Separado(a) (042)",335,13,22,5,295
"Casado(a) (043)",2054,81,339,65,1571
"Viudo(a) (044)",612,22,41,19,530
"Divorciado(a) (045)",35,1,2,1,31
"Soltero(a) (046)",2338,270,236,56,1777
,,,,,
"RURAL (048)",8367,422,932,289,6753
"Conviviente (049)",2738,100,321,113,2212
"Separado(a) (050)",197,6,9,3,180
"Casado(a) (051)",2317,69,351,83,1824
"Viudo(a) (052)",430,6,7,1,416
"Divorciado(a) (053)",24,1,4,1,18
"Soltero(a) (054)",2661,240,240,88,2103
"Hombres (056)",4668,178,837,251,3429
"Conviviente (057)",1532,27,305,101,1107
"Separado(a) (058)",63,,8,3,53
"Casado(a) (059)",1332,23,314,76,928
"Viudo(a) (060)",130,3,6,1,120
"Divorciado(a) (061)",17,1,4,1,11
"Soltero(a) (062)",1594,124,200,69,1210
"Mujeres (064)",3699,244,95,38,3324
"Conviviente (065)",1206,73,16,12,1105
"Separado(a) (066)",134,6,1,,127
"Casado(a) (067)",985,46,37,7,896
"Viudo(a) (068)",300,3,1,,296
"Divorciado(a) (069)",7,,,,7
"Soltero(a) (070)",1067,116,40,19,893
