"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PASCO (000)",150717,16650,44674,3313,86498
"Menos de 1 año (001)",2618,923,735,34,926
"De 1 a 14 años (002)",44560,11527,13292,563,19220
"De 15 a 29 años (003)",46181,2709,9660,1023,32918
"De 30 a 44 años (004)",31476,888,12106,974,17668
"De 45 a 64 años (005)",19481,426,7095,589,11450
"De 65 y mas años (006)",6401,177,1786,130,4316
"Hombres (008)",76788,8148,24501,2244,42242
"Menos de 1 año (009)",1306,474,357,16,459
"De 1 a 14 años (010)",22757,5999,6774,295,9712
"De 15 a 29 años (011)",23404,1113,5454,744,16206
"De 30 a 44 años (012)",16291,307,6927,721,8479
"De 45 a 64 años (013)",10063,178,4052,397,5498
"De 65 y mas años (014)",2967,77,937,71,1888
"Mujeres (016)",73929,8502,20173,1069,44256
"Menos de 1 año (017)",1312,449,378,18,467
"De 1 a 14 años (018)",21803,5528,6518,268,9508
"De 15 a 29 años (019)",22777,1596,4206,279,16712
"De 30 a 44 años (020)",15185,581,5179,253,9189
"De 45 a 64 años (021)",9418,248,3043,192,5952
"De 65 y mas años (022)",3434,100,849,59,2428
,,,,,
"URBANA (024)",114821,11117,40524,2788,60630
"Menos de 1 año (025)",2037,644,702,31,660
"De 1 a 14 años (026)",33568,7276,12458,487,13383
"De 15 a 29 años (027)",34989,1920,8420,853,23845
"De 30 a 44 años (028)",24581,743,10754,798,12371
"De 45 a 64 años (029)",15053,376,6579,502,7657
"De 65 y mas años (030)",4593,158,1611,117,2714
"Hombres (032)",57777,5337,21613,1827,29176
"Menos de 1 año (033)",1014,338,340,15,321
"De 1 a 14 años (034)",17110,3761,6359,248,6761
"De 15 a 29 años (035)",17458,752,4538,602,11603
"De 30 a 44 años (036)",12434,263,5842,570,5830
"De 45 a 64 años (037)",7683,155,3688,329,3555
"De 65 y mas años (038)",2078,68,846,63,1106
"Mujeres (040)",57044,5780,18911,961,31454
"Menos de 1 año (041)",1023,306,362,16,339
"De 1 a 14 años (042)",16458,3515,6099,239,6622
"De 15 a 29 años (043)",17531,1168,3882,251,12242
"De 30 a 44 años (044)",12147,480,4912,228,6541
"De 45 a 64 años (045)",7370,221,2891,173,4102
"De 65 y mas años (046)",2515,90,765,54,1608
,,,,,
"RURAL (048)",35896,5533,4150,525,25868
"Menos de 1 año (049)",581,279,33,3,266
"De 1 a 14 años (050)",10992,4251,834,76,5837
"De 15 a 29 años (051)",11192,789,1240,170,9073
"De 30 a 44 años (052)",6895,145,1352,176,5297
"De 45 a 64 años (053)",4428,50,516,87,3793
"De 65 y mas años (054)",1808,19,175,13,1602
"Hombres (056)",19011,2811,2888,417,13066
"Menos de 1 año (057)",292,136,17,1,138
"De 1 a 14 años (058)",5647,2238,415,47,2951
"De 15 a 29 años (059)",5946,361,916,142,4603
"De 30 a 44 años (060)",3857,44,1085,151,2649
"De 45 a 64 años (061)",2380,23,364,68,1943
"De 65 y mas años (062)",889,9,91,8,782
"Mujeres (064)",16885,2722,1262,108,12802
"Menos de 1 año (065)",289,143,16,2,128
"De 1 a 14 años (066)",5345,2013,419,29,2886
"De 15 a 29 años (067)",5246,428,324,28,4470
"De 30 a 44 años (068)",3038,101,267,25,2648
"De 45 a 64 años (069)",2048,27,152,19,1850
"De 65 y mas años (070)",919,10,84,5,820
