"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TARATA (000)",3074,8469,7434,,101,87.8,1.2
"De 12 a 14 años (001)",195,,,,,,
"De 15 a 19 años (002)",301,62,61,15,98.4,24.2,
"De 20 a 24 años (003)",305,234,228,36,97.4,15.4,
"De 25 a 29 años (004)",290,393,378,19,96.2,4.8,
"De 30 a 34 años (005)",248,486,468,17,96.3,3.5,
"De 35 a 39 años (006)",250,628,594,9,94.6,1.4,
"De 40 a 44 años (007)",228,709,662,4,93.4,0.6,
"De 45 a 49 años (008)",218,805,722,1,89.7,0.1,
"De 50 y más años (009)",1039,5152,4321,,83.9,,
"PEA (010)",1772,5215,4619,47,88.6,0.9,
"De 12 a 14 años (011)",22,,,,,,
"De 15 a 19 años (012)",90,26,25,5,96.2,19.2,
"De 20 a 24 años (013)",182,128,126,21,98.4,16.4,
"De 25 a 29 años (014)",196,234,223,8,95.3,3.4,
"De 30 a 34 años (015)",165,306,295,7,96.4,2.3,
"De 35 a 39 años (016)",192,472,446,4,94.5,0.8,
"De 40 a 44 años (017)",166,505,473,2,93.7,0.4,
"De 45 a 49 años (018)",155,575,512,,89,,
"De 50 y más años (019)",604,2969,2519,,84.8,,
"Ocupada (020)",1707,5081,4493,41,88.4,0.8,
"De 12 a 14 años (021)",21,,,,,,
"De 15 a 19 años (022)",87,25,24,5,96,20,
"De 20 a 24 años (023)",166,119,117,16,98.3,13.4,
"De 25 a 29 años (024)",181,216,206,8,95.4,3.7,
"De 30 a 34 años (025)",160,302,291,6,96.4,2,
"De 35 a 39 años (026)",182,451,426,4,94.5,0.9,
"De 40 a 44 años (027)",160,480,452,2,94.2,0.4,
"De 45 a 49 años (028)",153,565,502,,88.8,,
"De 50 y más años (029)",597,2923,2475,,84.7,,
"Desocupada (030)",65,134,126,6,94,4.5,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",3,1,1,,100,,
"De 20 a 24 años (033)",16,9,9,5,100,55.6,
"De 25 a 29 años (034)",15,18,17,,94.4,,
"De 30 a 34 años (035)",5,4,4,1,100,25,
"De 35 a 39 años (036)",10,21,20,,95.2,,
"De 40 a 44 años (037)",6,25,21,,84,,
"De 45 a 49 años (038)",2,10,10,,100,,
"De 50 y más años (039)",7,46,44,,95.7,,
