"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MORROPON (000)",42539,40052,162,6970,7223,6186,8763,5843,3369,1536,2487,161417
"De 12 a 14 años (001)",98,43,,30,13,,,,,,55,56
"De 15 a 19 años (002)",1027,840,9,719,93,14,5,,,,187,967
"De 20 a 24 años (003)",3910,3150,22,2035,859,191,39,4,,,760,4516
"De 25 a 29 años (004)",4622,4082,14,1398,1590,735,317,27,1,,540,8285
"De 30 a 34 años (005)",4948,4663,17,871,1497,1212,898,154,12,2,285,12457
"De 35 a 39 años (006)",4914,4734,14,500,1059,1280,1404,401,67,9,180,15764
"De 40 a 44 años (007)",4584,4458,12,344,692,942,1521,693,208,46,126,17894
"De 45 a 49 años (008)",4012,3920,7,291,458,593,1257,841,370,103,92,18217
"De 50 y más años (009)",14424,14162,67,782,962,1219,3322,3723,2711,1376,262,83261
"PEA (010)",8740,7949,32,1639,1729,1460,1645,825,440,179,791,27600
"De 12 a 14 años (011)",11,10,,6,4,,,,,,1,14
"De 15 a 19 años (012)",119,94,,77,10,4,3,,,,25,121
"De 20 a 24 años (013)",743,492,2,356,102,24,6,2,,,251,671
"De 25 a 29 años (014)",962,755,4,323,275,113,37,3,,,207,1384
"De 30 a 34 años (015)",1108,995,7,282,345,205,132,23,1,,113,2306
"De 35 a 39 años (016)",1298,1232,8,175,346,344,286,65,7,1,66,3614
"De 40 a 44 años (017)",1215,1165,2,129,250,313,328,108,29,6,50,3995
"De 45 a 49 años (018)",1079,1059,2,123,172,206,333,139,66,18,20,4179
"De 50 y más años (019)",2205,2147,7,168,225,251,520,485,337,154,58,11316
"Ocupada (020)",8446,7732,31,1575,1681,1425,1602,807,436,175,714,26950
