"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",124706,42835,3817,58161,12847,1463,2738,1117,1728
"Quechua (001)",56,8,,25,11,1,3,,8
"Aymara (002)",14,4,1,5,2,2,,,
"Ashaninca (003)",6,,1,4,,,1,,
"Otra lengua nativa (004)",18,7,,6,5,,,,
"Castellano (005)",124399,42631,3813,58104,12828,1459,2732,1117,1715
"Idioma extranjero (006)",3,,,,,,,,3
"Es sordomudo/a (007)",210,185,2,17,1,1,2,,2
"Hombres (009)",60498,15449,1913,31614,7853,748,1341,577,1003
"Quechua (010)",32,5,,13,7,1,1,,5
"Aymara (011)",7,1,1,2,2,1,,,
"Ashaninca (012)",3,,,3,,,,,
"Otra lengua nativa (013)",14,4,,5,5,,,,
"Castellano (014)",60335,15350,1912,31582,7838,745,1338,577,993
"Idioma extranjero (015)",3,,,,,,,,3
"Es sordomudo/a (016)",104,89,,9,1,1,2,,2
"Mujeres (018)",64208,27386,1904,26547,4994,715,1397,540,725
"Quechua (019)",24,3,,12,4,,2,,3
"Aymara (020)",7,3,,3,,1,,,
"Ashaninca (021)",3,,1,1,,,1,,
"Otra lengua nativa (022)",4,3,,1,,,,,
"Castellano (023)",64064,27281,1901,26522,4990,714,1394,540,722
"Es sordomudo/a (025)",106,96,2,8,,,,,
,,,,,,,,,
"URBANA (027)",34141,6681,1093,12585,7567,1263,2359,1024,1569
"Quechua (028)",34,4,,10,8,1,3,,8
"Aymara (029)",8,1,,3,2,2,,,
"Ashaninca (030)",2,,,1,,,1,,
"Otra lengua nativa (031)",10,2,,4,4,,,,
"Castellano (032)",34046,6643,1092,12565,7553,1260,2353,1024,1556
"Idioma extranjero (033)",3,,,,,,,,3
"Es sordomudo/a (034)",38,31,1,2,,,2,,2
"Hombres (036)",16206,2122,544,6162,4209,620,1131,528,890
"Quechua (037)",18,2,,4,5,1,1,,5
"Aymara (038)",6,1,,2,2,1,,,
"Otra lengua nativa (040)",10,2,,4,4,,,,
"Castellano (041)",16152,2105,544,6151,4198,618,1128,528,880
"Idioma extranjero (042)",3,,,,,,,,3
"Es sordomudo/a (043)",17,12,,1,,,2,,2
"Mujeres (045)",17935,4559,549,6423,3358,643,1228,496,679
"Quechua (046)",16,2,,6,3,,2,,3
"Aymara (047)",2,,,1,,1,,,
"Ashaninca (048)",2,,,1,,,1,,
"Castellano (050)",17894,4538,548,6414,3355,642,1225,496,676
"Es sordomudo/a (052)",21,19,1,1,,,,,
,,,,,,,,,
"RURAL (054)",90565,36154,2724,45576,5280,200,379,93,159
"Quechua (055)",22,4,,15,3,,,,
"Aymara (056)",6,3,1,2,,,,,
"Ashaninca (057)",4,,1,3,,,,,
"Otra lengua nativa (058)",8,5,,2,1,,,,
"Castellano (059)",90353,35988,2721,45539,5275,199,379,93,159
"Es sordomudo/a (061)",172,154,1,15,1,1,,,
"Hombres (063)",44292,13327,1369,25452,3644,128,210,49,113
"Quechua (064)",14,3,,9,2,,,,
"Aymara (065)",1,,1,,,,,,
"Ashaninca (066)",3,,,3,,,,,
"Otra lengua nativa (067)",4,2,,1,1,,,,
"Castellano (068)",44183,13245,1368,25431,3640,127,210,49,113
"Es sordomudo/a (070)",87,77,,8,1,1,,,
"Mujeres (072)",46273,22827,1355,20124,1636,72,169,44,46
"Quechua (073)",8,1,,6,1,,,,
"Aymara (074)",5,3,,2,,,,,
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",4,3,,1,,,,,
"Castellano (077)",46170,22743,1353,20108,1635,72,169,44,46
"Es sordomudo/a (079)",85,77,1,7,,,,,
