"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANUCO (000)",90485,70791,6773,5788,7133
"Sin nivel (001)",10108,9663,319,60,66
"Educación inicial (002)",110,104,2,3,1
"Primaria (003)",27943,25991,1258,368,326
"Secundaria (004)",26227,22273,1982,992,980
"Superior no univ. incompleta (005)",3324,2391,401,261,271
"Superior no univ. completa (006)",5285,2610,741,1004,930
"Superior univ. incompleta (007)",4945,3228,526,504,687
"Superior univ. completa (008)",12543,4531,1544,2596,3872
"De 06 a 14 años (010)",1737,1623,94,19,1
"Sin nivel (011)",190,185,5,,
"Educación inicial (012)",21,19,2,,
"Primaria (013)",1081,1012,57,11,1
"Secundaria (014)",445,407,30,8,
"De 15 a 29 años (020)",30599,24410,2766,1800,1623
"Sin nivel (021)",1514,1445,60,5,4
"Educación inicial (022)",60,58,,2,
"Primaria (023)",7996,7444,399,100,53
"Secundaria (024)",12654,10766,1098,473,317
"Superior no univ. incompleta (025)",1712,1262,242,127,81
"Superior no univ. completa (026)",1801,983,297,272,249
"Superior univ. incompleta (027)",2126,1394,276,241,215
"Superior univ. completa (028)",2736,1058,394,580,704
"De 30 a 44 años (030)",31417,23242,2428,2497,3250
"Sin nivel (031)",2648,2508,96,24,20
"Educación inicial (032)",29,27,,1,1
"Primaria (033)",9192,8491,419,142,140
"Secundaria (034)",8073,6856,530,308,379
"Superior no univ. incompleta (035)",1123,794,118,92,119
"Superior no univ. completa (036)",2452,1208,314,489,441
"Superior univ. incompleta (037)",1718,1131,166,166,255
"Superior univ. completa (038)",6182,2227,785,1275,1895
"De 45 a 64 años (040)",21879,16999,1321,1394,2165
"Sin nivel (041)",3857,3687,115,24,31
"Primaria (043)",7531,7004,321,96,110
"Secundaria (044)",4568,3816,301,190,261
"Superior no univ. incompleta (045)",462,313,40,40,69
"Superior no univ. completa (046)",986,385,126,236,239
"Superior univ. incompleta (047)",1049,662,78,94,215
"Superior univ. completa (048)",3426,1132,340,714,1240
"De 65 y más años (050)",4853,4517,164,78,94
"Sin nivel (051)",1899,1838,43,7,11
"Primaria (053)",2143,2040,62,19,22
"Secundaria (054)",487,428,23,13,23
"Superior no univ. incompleta (055)",27,22,1,2,2
"Superior no univ. completa (056)",46,34,4,7,1
