"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SAN PABLO (000)",16919,2844,3188,3108,2668,1877,3234
"Católica (001)",11750,1971,2243,2182,1898,1259,2197
"Cristiana/Evangélica (002)",3086,502,528,545,448,385,678
"Otra (003)",1156,191,209,220,182,133,221
"Ninguna (004)",927,180,208,161,140,100,138
"Hombres (006)",8144,1430,1580,1526,1199,917,1492
"Católica (007)",5816,1033,1140,1110,861,625,1047
"Cristiana/Evangélica (008)",1316,199,233,240,188,166,290
"Otra (009)",518,92,100,93,72,66,95
"Ninguna (010)",494,106,107,83,78,60,60
"Mujeres (012)",8775,1414,1608,1582,1469,960,1742
"Católica (013)",5934,938,1103,1072,1037,634,1150
"Cristiana/Evangélica (014)",1770,303,295,305,260,219,388
"Otra (015)",638,99,109,127,110,67,126
"Ninguna (016)",433,74,101,78,62,40,78
,,,,,,,
"URBANA (018)",2743,420,444,553,515,331,480
"Católica (019)",2275,344,376,464,433,267,391
"Cristiana/Evangélica (020)",238,38,33,39,47,31,50
"Otra (021)",169,25,22,37,28,26,31
"Ninguna (022)",61,13,13,13,7,7,8
"Hombres (024)",1316,212,222,280,230,162,210
"Católica (025)",1088,176,189,231,194,132,166
"Cristiana/Evangélica (026)",116,17,17,21,23,12,26
"Otra (027)",75,10,9,20,9,14,13
"Ninguna (028)",37,9,7,8,4,4,5
"Mujeres (030)",1427,208,222,273,285,169,270
"Católica (031)",1187,168,187,233,239,135,225
"Cristiana/Evangélica (032)",122,21,16,18,24,19,24
"Otra (033)",94,15,13,17,19,12,18
"Ninguna (034)",24,4,6,5,3,3,3
,,,,,,,
"RURAL (036)",14176,2424,2744,2555,2153,1546,2754
"Católica (037)",9475,1627,1867,1718,1465,992,1806
"Cristiana/Evangélica (038)",2848,464,495,506,401,354,628
"Otra (039)",987,166,187,183,154,107,190
"Ninguna (040)",866,167,195,148,133,93,130
"Hombres (042)",6828,1218,1358,1246,969,755,1282
"Católica (043)",4728,857,951,879,667,493,881
"Cristiana/Evangélica (044)",1200,182,216,219,165,154,264
"Otra (045)",443,82,91,73,63,52,82
"Ninguna (046)",457,97,100,75,74,56,55
"Mujeres (048)",7348,1206,1386,1309,1184,791,1472
"Católica (049)",4747,770,916,839,798,499,925
"Cristiana/Evangélica (050)",1648,282,279,287,236,200,364
"Otra (051)",544,84,96,110,91,55,108
"Ninguna (052)",409,70,95,73,59,37,75
