"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BONGARA (000)",7074,125,3048,2198,679,220,107,26,5,,666
"Sin Nivel (001)",1143,28,499,344,80,31,16,9,,,136
"Educación Inicial (002)",11,,3,6,,,,,,,2
"Primaria (003)",3958,76,1877,1231,312,108,47,12,5,,290
"Secundaria (004)",1253,13,548,399,111,26,22,3,,,131
"Sup. no Univ. Incompleta (005)",115,1,22,40,22,5,3,,,,22
"Sup. no Univ. Completa (006)",304,,47,101,84,27,9,1,,,35
"Sup. Univ. Incompleta (007)",97,2,24,35,18,3,1,,,,14
"Sup. Univ. Completa (008)",193,5,28,42,52,20,9,1,,,36
,,,,,,,,,,,
"URBANA (010)",4425,65,1762,1420,481,164,84,22,5,,422
"Sin Nivel (011)",434,11,171,126,28,13,11,6,,,68
"Educación Inicial (012)",9,,2,5,,,,,,,2
"Primaria (013)",2440,43,1087,798,210,81,33,12,5,,171
"Secundaria (014)",971,6,415,313,93,23,20,2,,,99
"Sup. no Univ. Incompleta (015)",105,1,22,35,21,4,3,,,,19
"Sup. no Univ. Completa (016)",260,,39,86,72,24,8,1,,,30
"Sup. Univ. Incompleta (017)",62,,12,23,15,2,,,,,10
"Sup. Univ. Completa (018)",144,4,14,34,42,17,9,1,,,23
,,,,,,,,,,,
"RURAL (020)",2649,60,1286,778,198,56,23,4,,,244
"Sin Nivel (021)",709,17,328,218,52,18,5,3,,,68
"Educación Inicial (022)",2,,1,1,,,,,,,
"Primaria (023)",1518,33,790,433,102,27,14,,,,119
"Secundaria (024)",282,7,133,86,18,3,2,1,,,32
"Sup. no Univ. Incompleta (025)",10,,,5,1,1,,,,,3
"Sup. no Univ. Completa (026)",44,,8,15,12,3,1,,,,5
"Sup. Univ. Incompleta (027)",35,2,12,12,3,1,1,,,,4
"Sup. Univ. Completa (028)",49,1,14,8,10,3,,,,,13
