"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",32666,1478,11900,10321,7157,1810
"Empleado (001)",2082,16,633,942,463,28
"Obrero (002)",4761,136,2217,1441,806,161
"Trabajador independiente (003)",16544,193,4750,5770,4512,1319
"Empleador o patrono (004)",1064,,318,411,273,62
"Trabajador familiar no remunerado (005)",7271,1092,3584,1505,903,187
"Trabajador del hogar (006)",944,41,398,252,200,53
"Hombres (008)",23680,1014,8841,7409,5069,1347
"Empleado (009)",1173,4,326,537,291,15
"Obrero (010)",3876,101,1877,1161,607,130
"Trabajador independiente (011)",13836,140,3939,4900,3764,1093
"Empleador o patrono (012)",960,,282,380,241,57
"Trabajador familiar no remunerado (013)",3800,767,2399,425,158,51
"Trabajador del hogar (014)",35,2,18,6,8,1
"Mujeres (016)",8986,464,3059,2912,2088,463
"Empleado (017)",909,12,307,405,172,13
"Obrero (018)",885,35,340,280,199,31
"Trabajador independiente (019)",2708,53,811,870,748,226
"Empleador o patrono (020)",104,,36,31,32,5
"Trabajador familiar no remunerado (021)",3471,325,1185,1080,745,136
"Trabajador del hogar (022)",909,39,380,246,192,52
,,,,,,
"URBANA (024)",15840,468,5062,5355,3918,1037
"Empleado (025)",1900,16,570,851,437,26
"Obrero (026)",2146,37,833,732,440,104
"Trabajador independiente (027)",8011,81,2080,2781,2346,723
"Empleador o patrono (028)",313,,63,129,94,27
"Trabajador familiar no remunerado (029)",2687,304,1212,631,432,108
"Trabajador del hogar (030)",783,30,304,231,169,49
"Hombres (032)",10696,325,3531,3523,2585,732
"Empleado (033)",1074,4,300,488,268,14
"Obrero (034)",1760,32,719,593,332,84
"Trabajador independiente (035)",6244,63,1610,2158,1837,576
"Empleador o patrono (036)",261,,48,112,76,25
"Trabajador familiar no remunerado (037)",1336,224,845,168,67,32
"Trabajador del hogar (038)",21,2,9,4,5,1
"Mujeres (040)",5144,143,1531,1832,1333,305
"Empleado (041)",826,12,270,363,169,12
"Obrero (042)",386,5,114,139,108,20
"Trabajador independiente (043)",1767,18,470,623,509,147
"Empleador o patrono (044)",52,,15,17,18,2
"Trabajador familiar no remunerado (045)",1351,80,367,463,365,76
"Trabajador del hogar (046)",762,28,295,227,164,48
,,,,,,
"RURAL (048)",16826,1010,6838,4966,3239,773
"Empleado (049)",182,,63,91,26,2
"Obrero (050)",2615,99,1384,709,366,57
"Trabajador independiente (051)",8533,112,2670,2989,2166,596
"Empleador o patrono (052)",751,,255,282,179,35
"Trabajador familiar no remunerado (053)",4584,788,2372,874,471,79
"Trabajador del hogar (054)",161,11,94,21,31,4
"Hombres (056)",12984,689,5310,3886,2484,615
"Empleado (057)",99,,26,49,23,1
"Obrero (058)",2116,69,1158,568,275,46
"Trabajador independiente (059)",7592,77,2329,2742,1927,517
"Empleador o patrono (060)",699,,234,268,165,32
"Trabajador familiar no remunerado (061)",2464,543,1554,257,91,19
"Trabajador del hogar (062)",14,,9,2,3,
"Mujeres (064)",3842,321,1528,1080,755,158
"Empleado (065)",83,,37,42,3,1
"Obrero (066)",499,30,226,141,91,11
"Trabajador independiente (067)",941,35,341,247,239,79
"Empleador o patrono (068)",52,,21,14,14,3
"Trabajador familiar no remunerado (069)",2120,245,818,617,380,60
"Trabajador del hogar (070)",147,11,85,19,28,4
