"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GRAN CHIMU (000)",28432,4770,861,14766,5931,423,726,250,705
"Quechua (001)",13,2,,3,3,1,,,4
"Aymara (002)",4,2,,1,1,,,,
"Ashaninca (003)",3,,1,2,,,,,
"Otra lengua nativa (004)",8,1,,2,3,,1,,1
"Castellano (005)",28360,4731,860,14752,5922,422,725,249,699
"Idioma extranjero (006)",3,,,,1,,,1,1
"Es sordomudo/a (007)",41,34,,6,1,,,,
"Hombres (009)",15372,2043,425,8131,3549,236,400,160,428
"Quechua (010)",10,1,,1,3,1,,,4
"Aymara (011)",3,1,,1,1,,,,
"Ashaninca (012)",2,,1,1,,,,,
"Otra lengua nativa (013)",5,,,2,1,,1,,1
"Castellano (014)",15329,2023,424,8123,3542,235,399,160,423
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",22,18,,3,1,,,,
"Mujeres (018)",13060,2727,436,6635,2382,187,326,90,277
"Quechua (019)",3,1,,2,,,,,
"Aymara (020)",1,1,,,,,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",3,1,,,2,,,,
"Castellano (023)",13031,2708,436,6629,2380,187,326,89,276
"Idioma extranjero (024)",2,,,,,,,1,1
"Es sordomudo/a (025)",19,16,,3,,,,,
,,,,,,,,,
"URBANA (027)",6204,572,218,2531,1780,214,397,138,354
"Quechua (028)",5,1,,1,2,1,,,
"Aymara (029)",1,,,1,,,,,
"Otra lengua nativa (031)",6,,,2,3,,,,1
"Castellano (032)",6183,565,218,2526,1775,213,397,137,352
"Idioma extranjero (033)",2,,,,,,,1,1
"Es sordomudo/a (034)",7,6,,1,,,,,
"Hombres (036)",3094,216,131,1207,968,111,186,80,195
"Quechua (037)",3,,,,2,1,,,
"Aymara (038)",1,,,1,,,,,
"Otra lengua nativa (040)",4,,,2,1,,,,1
"Castellano (041)",3084,214,131,1204,965,110,186,80,194
"Es sordomudo/a (043)",2,2,,,,,,,
"Mujeres (045)",3110,356,87,1324,812,103,211,58,159
"Quechua (046)",2,1,,1,,,,,
"Otra lengua nativa (049)",2,,,,2,,,,
"Castellano (050)",3099,351,87,1322,810,103,211,57,158
"Idioma extranjero (051)",2,,,,,,,1,1
"Es sordomudo/a (052)",5,4,,1,,,,,
,,,,,,,,,
"RURAL (054)",22228,4198,643,12235,4151,209,329,112,351
"Quechua (055)",8,1,,2,1,,,,4
"Aymara (056)",3,2,,,1,,,,
"Ashaninca (057)",3,,1,2,,,,,
"Otra lengua nativa (058)",2,1,,,,,1,,
"Castellano (059)",22177,4166,642,12226,4147,209,328,112,347
"Idioma extranjero (060)",1,,,,1,,,,
"Es sordomudo/a (061)",34,28,,5,1,,,,
"Hombres (063)",12278,1827,294,6924,2581,125,214,80,233
"Quechua (064)",7,1,,1,1,,,,4
"Aymara (065)",2,1,,,1,,,,
"Ashaninca (066)",2,,1,1,,,,,
"Otra lengua nativa (067)",1,,,,,,1,,
"Castellano (068)",12245,1809,293,6919,2577,125,213,80,229
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",20,16,,3,1,,,,
"Mujeres (072)",9950,2371,349,5311,1570,84,115,32,118
"Quechua (073)",1,,,1,,,,,
"Aymara (074)",1,1,,,,,,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",9932,2357,349,5307,1570,84,115,32,118
"Es sordomudo/a (079)",14,12,,2,,,,,
