"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LUYA (000)",44999,15973,2850,657,25555
"Quechua (001)",34,6,1,1,27
"Aymara (002)",6,2,,,4
"Otra lengua nativa (004)",6,3,,,3
"Castellano (005)",44671,15927,2849,651,25279
"Idioma Extranjero (006)",8,,,5,3
"Es Sordomudo/a (007)",274,35,,,239
"Hombres (009)",23232,7767,1407,366,13715
"Quechua (010)",16,3,1,1,12
"Aymara (011)",3,,,,3
"Otra lengua nativa (013)",2,,,,2
"Castellano (014)",23089,7752,1406,363,13590
"Idioma Extranjero (015)",2,,,2,
"Es Sordomudo/a (016)",120,12,,,108
"Mujeres (018)",21767,8206,1443,291,11840
"Quechua (019)",18,3,,,15
"Aymara (020)",3,2,,,1
"Otra lengua nativa (022)",4,3,,,1
"Castellano (023)",21582,8175,1443,288,11689
"Idioma Extranjero (024)",6,,,3,3
"Es Sordomudo/a (025)",154,23,,,131
,,,,,
"URBANA (027)",18372,5913,2095,300,10084
"Quechua (028)",25,5,,1,20
"Aymara (029)",1,,,,1
"Otra lengua nativa (031)",5,2,,,3
"Castellano (032)",18278,5892,2095,294,10016
"Idioma Extranjero (033)",8,,,5,3
"Es Sordomudo/a (034)",55,14,,,41
"Hombres (036)",9087,2751,1002,181,5169
"Quechua (037)",11,3,,1,8
"Otra lengua nativa (040)",2,,,,2
"Castellano (041)",9050,2742,1002,178,5143
"Idioma Extranjero (042)",2,,,2,
"Es Sordomudo/a (043)",22,6,,,16
"Mujeres (045)",9285,3162,1093,119,4915
"Quechua (046)",14,2,,,12
"Aymara (047)",1,,,,1
"Otra lengua nativa (049)",3,2,,,1
"Castellano (050)",9228,3150,1093,116,4873
"Idioma Extranjero (051)",6,,,3,3
"Es Sordomudo/a (052)",33,8,,,25
,,,,,
"RURAL (054)",26627,10060,755,357,15471
"Quechua (055)",9,1,1,,7
"Aymara (056)",5,2,,,3
"Otra lengua nativa (058)",1,1,,,
"Castellano (059)",26393,10035,754,357,15263
"Es Sordomudo/a (061)",219,21,,,198
"Hombres (063)",14145,5016,405,185,8546
"Quechua (064)",5,,1,,4
"Aymara (065)",3,,,,3
"Castellano (068)",14039,5010,404,185,8447
"Es Sordomudo/a (070)",98,6,,,92
"Mujeres (072)",12482,5044,350,172,6925
"Quechua (073)",4,1,,,3
"Aymara (074)",2,2,,,
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",12354,5025,350,172,6816
"Es Sordomudo/a (079)",121,15,,,106
