"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LAURICOCHA (000)",464,149,315
"De 14 a 29 años (001)",236,107,129
"De 30 a 44 años (002)",147,38,109
"De 45 a 64 años (003)",69,4,65
"De 65 y más años (004)",12,,12
"Hombres (005)",376,113,263
"De 14 a 29 años (006)",172,75,97
"De 30 a 44 años (007)",130,34,96
"De 45 a 64 años (008)",63,4,59
"De 65 y más años (009)",11,,11
"Mujeres (010)",88,36,52
"De 14 a 29 años (011)",64,32,32
"De 30 a 44 años (012)",17,4,13
"De 45 a 64 años (013)",6,,6
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",152,35,117
"De 14 a 29 años (016)",67,21,46
"De 30 a 44 años (017)",46,13,33
"De 45 a 64 años (018)",34,1,33
"De 65 y más años (019)",5,,5
"Hombres (020)",124,27,97
"De 14 a 29 años (021)",49,13,36
"De 30 a 44 años (022)",42,13,29
"De 45 a 64 años (023)",29,1,28
"De 65 y más años (024)",4,,4
"Mujeres (025)",28,8,20
"De 14 a 29 años (026)",18,8,10
"De 30 a 44 años (027)",4,,4
"De 45 a 64 años (028)",5,,5
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",312,114,198
"De 14 a 29 años (031)",169,86,83
"De 30 a 44 años (032)",101,25,76
"De 45 a 64 años (033)",35,3,32
"De 65 y más años (034)",7,,7
"Hombres (035)",252,86,166
"De 14 a 29 años (036)",123,62,61
"De 30 a 44 años (037)",88,21,67
"De 45 a 64 años (038)",34,3,31
"De 65 y más años (039)",7,,7
"Mujeres (040)",60,28,32
"De 14 a 29 años (041)",46,24,22
"De 30 a 44 años (042)",13,4,9
"De 45 a 64 años (043)",1,,1
