"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARI (000)",15743,9704,1886,1887,2266
"Empleado (001)",3427,860,673,739,1155
"Obrero (002)",5133,2069,848,1115,1101
"Trabajador independiente (003)",5452,5177,275,,
"Empleador o patrono (004)",97,76,15,5,1
"Trabajador familiar no remunerado (005)",1411,1299,75,28,9
"Trabajador del hogar (006)",223,223,,,
"De 06 a 14 años (008)",101,92,6,3,
"Empleado (009)",6,5,1,,
"Obrero (010)",19,15,1,3,
"Trabajador independiente (011)",26,24,2,,
"Trabajador familiar no remunerado (013)",47,45,2,,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",4832,2817,597,615,803
"Empleado (017)",1029,284,151,172,422
"Obrero (018)",1825,698,323,428,376
"Trabajador independiente (019)",1272,1189,83,,
"Empleador o patrono (020)",28,19,7,2,
"Trabajador familiar no remunerado (021)",577,526,33,13,5
"Trabajador del hogar (022)",101,101,,,
"De 30 a 44 años (024)",5699,3025,775,866,1033
"Empleado (025)",1689,379,374,405,531
"Obrero (026)",1886,646,286,454,500
"Trabajador independiente (027)",1712,1618,94,,
"Empleador o patrono (028)",27,21,6,,
"Trabajador familiar no remunerado (029)",330,306,15,7,2
"Trabajador del hogar (030)",55,55,,,
"De 45 a 64 años (032)",3842,2643,437,356,406
"Empleado (033)",673,175,144,158,196
"Obrero (034)",1118,528,194,189,207
"Trabajador independiente (035)",1666,1589,77,,
"Empleador o patrono (036)",29,23,2,3,1
"Trabajador familiar no remunerado (037)",309,281,20,6,2
"Trabajador del hogar (038)",47,47,,,
"De 65 y más años (040)",1269,1127,71,47,24
"Empleado (041)",30,17,3,4,6
"Obrero (042)",285,182,44,41,18
"Trabajador independiente (043)",776,757,19,,
"Empleador o patrono (044)",13,13,,,
"Trabajador familiar no remunerado (045)",148,141,5,2,
"Trabajador del hogar (046)",17,17,,,
,,,,,
"URBANA (048)",6208,3805,955,781,667
"Empleado (049)",2064,582,515,465,502
"Obrero (050)",1419,665,293,300,161
"Trabajador independiente (051)",2082,1974,108,,
"Empleador o patrono (052)",66,50,10,5,1
"Trabajador familiar no remunerado (053)",426,383,29,11,3
"Trabajador del hogar (054)",151,151,,,
"De 06 a 14 años (056)",55,51,2,2,
