"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARAL (000)",155687,17919,26865,8081,103159
"Quechua (001)",5488,549,1011,256,3687
"Aymara (002)",27,5,4,1,17
"Asháninka (003)",14,10,1,1,3
"Otra lengua nativa (004)",121,14,9,9,89
"Castellano (005)",149814,17326,25814,7808,99186
"Idioma Extranjero (006)",14,,,2,12
"Es Sordomudo/a (007)",209,15,26,4,165
"Hombres (009)",78760,8467,13859,4580,52069
"Quechua (010)",2937,258,604,168,1922
"Aymara (011)",20,4,4,1,11
"Asháninka (012)",4,2,1,,1
"Otra lengua nativa (013)",68,6,3,5,54
"Castellano (014)",75593,8189,13227,4404,49972
"Idioma Extranjero (015)",9,,,1,8
"Es Sordomudo/a (016)",129,8,20,1,101
"Mujeres (018)",76927,9452,13006,3501,51090
"Quechua (019)",2551,291,407,88,1765
"Aymara (020)",7,1,,,6
"Asháninka (021)",10,8,,1,2
"Otra lengua nativa (022)",53,8,6,4,35
"Castellano (023)",74221,9137,12587,3404,49214
"Idioma Extranjero (024)",5,,,1,4
"Es Sordomudo/a (025)",80,7,6,3,64
,,,,,
"URBANA (027)",128991,14448,23690,7299,83870
"Quechua (028)",4432,464,845,220,2917
"Aymara (029)",27,5,4,1,17
"Asháninka (030)",11,8,1,,2
"Otra lengua nativa (031)",54,10,7,1,36
"Castellano (032)",124289,13949,22810,7072,80759
"Idioma Extranjero (033)",9,,,1,8
"Es Sordomudo/a (034)",169,12,23,4,131
"Hombres (036)",64080,6771,12073,4102,41333
"Quechua (037)",2222,212,483,140,1401
"Aymara (038)",20,4,4,1,11
"Asháninka (039)",4,2,1,,1
"Otra lengua nativa (040)",9,4,1,,4
"Castellano (041)",61717,6543,11565,3960,39833
"Idioma Extranjero (042)",5,,,,5
"Es Sordomudo/a (043)",103,6,19,1,78
"Mujeres (045)",64911,7677,11617,3197,42537
"Quechua (046)",2210,252,362,80,1516
"Aymara (047)",7,1,,,6
"Asháninka (048)",7,6,,,1
"Otra lengua nativa (049)",45,6,6,1,32
"Castellano (050)",62572,7406,11245,3112,40926
"Idioma Extranjero (051)",4,,,1,3
"Es Sordomudo/a (052)",66,6,4,3,53
,,,,,
"RURAL (054)",26696,3471,3175,782,19289
"Quechua (055)",1056,85,166,36,770
"Asháninka (057)",3,2,,1,1
"Otra lengua nativa (058)",67,4,2,8,53
"Castellano (059)",25525,3377,3004,736,18427
"Idioma Extranjero (060)",5,,,1,4
"Es Sordomudo/a (061)",40,3,3,,34
"Hombres (063)",14680,1696,1786,478,10736
"Quechua (064)",715,46,121,28,521
"Otra lengua nativa (067)",59,2,2,5,50
"Castellano (068)",13876,1646,1662,444,10139
"Idioma Extranjero (069)",4,,,1,3
"Es Sordomudo/a (070)",26,2,1,,23
"Mujeres (072)",12016,1775,1389,304,8553
"Quechua (073)",341,39,45,8,249
"Asháninka (075)",3,2,,1,1
"Otra lengua nativa (076)",8,2,,3,3
"Castellano (077)",11649,1731,1342,292,8288
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",14,1,2,,11
