"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CALCA (000)",60586,12475,1769,26125,15400,1364,1395,924,1134
"Jefe o Jefa (001)",16568,3500,31,7153,4229,366,534,253,502
"Esposa(o)/ compa¤era(o) (002)",10980,3328,27,4632,2243,174,275,89,212
"Hijo(a)/ hijastro(a) (003)",25851,4091,1475,11555,6916,631,407,488,288
"Yerno/ nuera (004)",596,29,1,140,289,38,48,20,31
"Nieto(a) (005)",1344,319,123,611,238,29,4,14,6
"Padres/ suegros (006)",829,562,,217,38,3,5,1,3
"Otro(a) pariente (007)",3057,490,96,1279,940,80,80,37,55
"Trabajador(a) del hogar (008)",156,22,,72,55,4,1,1,1
"Pensionista (009)",61,1,,14,33,2,4,6,1
"Otro(a) no pariente (010)",1144,133,16,452,419,37,37,15,35
"Hombres (012)",30426,4429,903,13529,8923,771,711,547,613
"Jefe o Jefa (013)",12052,1711,22,5620,3433,287,396,197,386
"Esposa(o)/ compa¤era(o) (014)",1076,139,3,478,353,34,28,14,27
"Hijo(a)/ hijastro(a) (015)",13668,2049,758,5965,3952,338,191,279,136
"Yerno/ nuera (016)",270,3,,59,136,23,23,9,17
"Nieto(a) (017)",707,159,62,320,136,18,3,6,3
"Padres/ suegros (018)",244,108,,110,21,,2,,3
"Otro(a) pariente (019)",1634,190,52,676,573,48,46,26,23
"Trabajador(a) del hogar (020)",48,5,,23,18,1,,,1
"Pensionista (021)",32,,,6,16,1,2,6,1
"Otro(a) no pariente (022)",695,65,6,272,285,21,20,10,16
"Mujeres (024)",30160,8046,866,12596,6477,593,684,377,521
"Jefe o Jefa (025)",4516,1789,9,1533,796,79,138,56,116
"Esposa(o)/ compa¤era(o) (026)",9904,3189,24,4154,1890,140,247,75,185
"Hijo(a)/ hijastro(a) (027)",12183,2042,717,5590,2964,293,216,209,152
"Yerno/ nuera (028)",326,26,1,81,153,15,25,11,14
"Nieto(a) (029)",637,160,61,291,102,11,1,8,3
"Padres/ suegros (030)",585,454,,107,17,3,3,1,
"Otro(a) pariente (031)",1423,300,44,603,367,32,34,11,32
"Trabajador(a) del hogar (032)",108,17,,49,37,3,1,1,
"Pensionista (033)",29,1,,8,17,1,2,,
"Otro(a) no pariente (034)",449,68,10,180,134,16,17,5,19
,,,,,,,,,
"URBANA (036)",21177,2122,524,7289,7409,969,1117,758,989
"Jefe o Jefa (037)",5978,483,5,1868,2262,280,429,206,445
"Esposa(o)/ compa¤era(o) (038)",3467,326,7,1232,1273,132,236,73,188
"Hijo(a)/ hijastro(a) (039)",8071,874,414,2854,2582,400,306,394,247
"Yerno/ nuera (040)",262,2,,29,124,24,37,18,28
"Nieto(a) (041)",585,107,48,239,141,27,4,13,6
"Padres/ suegros (042)",299,140,,118,30,2,5,1,3
"Otro(a) pariente (043)",1539,126,39,583,582,69,63,32,45
"Trabajador(a) del hogar (044)",124,8,,59,50,4,1,1,1
"Pensionista (045)",57,1,,12,32,1,4,6,1
