"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ILO (000)",18164,89,404,1266,2239,3507,5325,5334
"De 12 a 14 años (001)",29,,,,,,1,28
"De 15 a 19 años (002)",317,,,,,,164,153
"De 20 a 24 años (003)",1571,,,,,8,826,737
"De 25 a 29 años (004)",2432,,,,,125,1301,1006
"De 30 a 34 años (005)",2564,,,,3,413,1373,775
"De 35 a 39 años (006)",2476,,,,42,805,1010,619
"De 40 a 44 años (007)",2019,,,,180,868,494,477
"De 45 a 49 años (008)",1776,,,19,505,741,137,374
"De 50 y más años (009)",4980,89,404,1247,1509,547,19,1165
"PEA (010)",8270,6,62,311,979,1941,2300,2671
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",85,,,,,,41,44
"De 20 a 24 años (013)",624,,,,,4,262,358
"De 25 a 29 años (014)",1159,,,,,74,523,562
"De 30 a 34 años (015)",1308,,,,3,237,619,449
"De 35 a 39 años (016)",1391,,,,23,465,526,377
"De 40 a 44 años (017)",1126,,,,93,509,243,281
"De 45 a 49 años (018)",921,,,8,250,382,80,201
"De 50 y más años (019)",1653,6,62,303,610,270,6,396
"Ocupada (020)",7791,6,62,303,940,1861,2146,2473
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",76,,,,,,36,40
"De 20 a 24 años (023)",526,,,,,4,226,296
"De 25 a 29 años (024)",1051,,,,,69,476,506
"De 30 a 34 años (025)",1230,,,,3,224,587,416
"De 35 a 39 años (026)",1335,,,,22,445,504,364
"De 40 a 44 años (027)",1072,,,,84,486,232,270
"De 45 a 49 años (028)",895,,,7,244,371,79,194
"De 50 y más años (029)",1603,6,62,296,587,262,6,384
"Desocupada (030)",479,,,8,39,80,154,198
"De 15 a 19 años (032)",9,,,,,,5,4
"De 20 a 24 años (033)",98,,,,,,36,62
"De 25 a 29 años (034)",108,,,,,5,47,56
"De 30 a 34 años (035)",78,,,,,13,32,33
"De 35 a 39 años (036)",56,,,,1,20,22,13
"De 40 a 44 años (037)",54,,,,9,23,11,11
"De 45 a 49 años (038)",26,,,1,6,11,1,7
"De 50 y más años (039)",50,,,7,23,8,,12
"No PEA (040)",9894,83,342,955,1260,1566,3025,2663
"De 12 a 14 años (041)",26,,,,,,1,25
"De 15 a 19 años (042)",232,,,,,,123,109
"De 20 a 24 años (043)",947,,,,,4,564,379
"De 25 a 29 años (044)",1273,,,,,51,778,444
"De 30 a 34 años (045)",1256,,,,,176,754,326
"De 35 a 39 años (046)",1085,,,,19,340,484,242
"De 40 a 44 años (047)",893,,,,87,359,251,196
