"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGAY (000)",16646,14106,855,606,1079
"Agric., ganadería, caza y silvicultura (001)",10927,10512,331,67,17
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",267,57,83,73,54
"Industrias manufactureras (004)",379,297,50,27,5
"Suministro de electricidad, gas y agua (005)",9,,1,5,3
"Construcción (006)",609,342,114,133,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1321,1264,40,14,3
"Venta, mant.y rep. veh.autom y motoc. (008)",110,94,12,2,2
"Comercio al por mayor (009)",38,30,5,2,1
"Comercio al por menor (010)",1173,1140,23,10,
"Hoteles y restaurantes (011)",352,321,19,7,5
"Trans., almac. y comunicaciones (012)",525,471,21,16,17
"Intermediación financiera (013)",6,1,1,2,2
"Activid.inmobil., empres. y alquileres (014)",152,81,23,20,28
"Admin.pub. y defensa; p. segur soc.afil (015)",336,,,,336
"Enseñanza (016)",940,157,134,205,444
"Servicios sociales y de salud (017)",170,28,9,8,125
"Otras activ. serv.comun.soc y personales (018)",188,133,26,18,11
"Hogares privados con servicio doméstico (019)",254,254,,,
"Actividad economica no especificada (021)",209,186,3,11,9
"Hombres (022)",12837,11053,691,463,630
"Agric., ganadería, caza y silvicultura (023)",9525,9170,287,58,10
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",263,56,81,73,53
"Industrias manufactureras (026)",287,231,37,15,4
"Suministro de electricidad, gas y agua (027)",9,,1,5,3
"Construcción (028)",578,333,110,123,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",534,494,27,11,2
"Venta, mant.y rep. veh.autom y motoc. (030)",93,80,10,2,1
"Comercio al por mayor (031)",23,18,3,1,1
"Comercio al por menor (032)",418,396,14,8,
"Hoteles y restaurantes (033)",79,66,9,2,2
"Trans., almac. y comunicaciones (034)",494,443,19,15,17
"Intermediación financiera (035)",4,1,,1,2
"Activid.inmobil., empres. y alquileres (036)",113,61,17,16,19
"Admin.pub. y defensa; p. segur soc.afil (037)",217,,,,217
"Enseñanza (038)",491,63,75,121,232
"Servicios sociales y de salud (039)",64,14,4,2,44
"Otras activ. serv.comun.soc y personales (040)",120,75,23,14,8
"Hogares privados con servicio doméstico (041)",9,9,,,
"Actividad economica no especificada (043)",48,35,1,7,5
