"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia POMABAMBA",,,,,,
"Viviendas particulares (001)",6425,6322,90,11,2,
"Ocupantes presentes (002)",27783,26918,707,129,29,
"Casa independiente",,,,,,
"Viviendas particulares (004)",6363,6263,87,11,2,
"Ocupantes presentes (005)",27512,26671,683,129,29,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",15,13,2,,,
"Ocupantes presentes (011)",66,49,17,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",12,11,1,,,
"Ocupantes presentes (014)",46,39,7,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",33,33,,,,
"Ocupantes presentes (017)",148,148,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",2,2,,,,
"Ocupantes presentes (023)",11,11,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",1419,1333,74,10,2,
"Ocupantes presentes (029)",5971,5251,573,118,29,
"Casa independiente",,,,,,
"Viviendas particulares (031)",1390,1307,71,10,2,
"Ocupantes presentes (032)",5848,5152,549,118,29,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",15,13,2,,,
"Ocupantes presentes (038)",66,49,17,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",12,11,1,,,
"Ocupantes presentes (041)",46,39,7,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",2,2,,,,
"Ocupantes presentes (050)",11,11,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",5006,4989,16,1,,
"Ocupantes presentes (056)",21812,21667,134,11,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",4973,4956,16,1,,
"Ocupantes presentes (059)",21664,21519,134,11,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",33,33,,,,
"Ocupantes presentes (071)",148,148,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
