"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN MARTIN (000)",151340,27519,29008,11985,83592
"Quechua (001)",644,103,90,43,414
"Aymara (002)",35,4,9,10,15
"Asháninka (003)",14,5,3,6,4
"Otra lengua nativa (004)",174,62,5,10,99
"Castellano (005)",150226,27316,28873,11891,82894
"Idioma Extranjero (006)",65,1,4,19,42
"Es Sordomudo/a (007)",182,28,24,6,124
"Hombres (009)",77078,13393,14218,6971,42947
"Quechua (010)",324,43,55,26,202
"Aymara (011)",27,3,8,10,9
"Asháninka (012)",4,1,2,1,1
"Otra lengua nativa (013)",88,28,2,7,51
"Castellano (014)",76503,13301,14132,6912,42602
"Idioma Extranjero (015)",38,,3,11,25
"Es Sordomudo/a (016)",94,17,16,4,57
"Mujeres (018)",74262,14126,14790,5014,40645
"Quechua (019)",320,60,35,17,212
"Aymara (020)",8,1,1,,6
"Asháninka (021)",10,4,1,5,3
"Otra lengua nativa (022)",86,34,3,3,48
"Castellano (023)",73723,14015,14741,4979,40292
"Idioma Extranjero (024)",27,1,1,8,17
"Es Sordomudo/a (025)",88,11,8,2,67
,,,,,
"URBANA (027)",137675,21633,28558,11493,76734
"Quechua (028)",535,67,90,37,347
"Aymara (029)",34,4,9,10,14
"Asháninka (030)",13,4,3,6,4
"Otra lengua nativa (031)",69,15,5,10,41
"Castellano (032)",136800,21521,28423,11405,76178
"Idioma Extranjero (033)",65,1,4,19,42
"Es Sordomudo/a (034)",159,21,24,6,108
"Hombres (036)",69386,10366,13967,6611,38873
"Quechua (037)",270,25,55,23,169
"Aymara (038)",27,3,8,10,9
"Asháninka (039)",4,1,2,1,1
"Otra lengua nativa (040)",37,3,2,7,25
"Castellano (041)",68931,10322,13881,6555,38597
"Idioma Extranjero (042)",38,,3,11,25
"Es Sordomudo/a (043)",79,12,16,4,47
"Mujeres (045)",68289,11267,14591,4882,37861
"Quechua (046)",265,42,35,14,178
"Aymara (047)",7,1,1,,5
"Asháninka (048)",9,3,1,5,3
"Otra lengua nativa (049)",32,12,3,3,16
"Castellano (050)",67869,11199,14542,4850,37581
"Idioma Extranjero (051)",27,1,1,8,17
"Es Sordomudo/a (052)",80,9,8,2,61
,,,,,
"RURAL (054)",13665,5886,450,492,6858
"Quechua (055)",109,36,,6,67
"Aymara (056)",1,,,,1
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",105,47,,,58
"Castellano (059)",13426,5795,450,486,6716
"Es Sordomudo/a (061)",23,7,,,16
"Hombres (063)",7692,3027,251,360,4074
"Quechua (064)",54,18,,3,33
"Otra lengua nativa (067)",51,25,,,26
"Castellano (068)",7572,2979,251,357,4005
"Es Sordomudo/a (070)",15,5,,,10
"Mujeres (072)",5973,2859,199,132,2784
"Quechua (073)",55,18,,3,34
"Aymara (074)",1,,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",54,22,,,32
"Castellano (077)",5854,2816,199,129,2711
"Es Sordomudo/a (079)",8,2,,,6
