"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OTUZCO (000)",82690,17045,1877,47945,11298,1292,1972,381,880
"Quechua (001)",39,5,2,17,6,3,3,1,2
"Aymara (002)",9,2,,4,2,,,,1
"Ashaninca (003)",6,3,,2,1,,,,
"Otra lengua nativa (004)",87,35,3,38,6,,5,,
"Castellano (005)",82456,16918,1872,47875,11283,1289,1963,379,877
"Idioma extranjero (006)",1,,,,,,,1,
"Es sordomudo/a (007)",92,82,,9,,,1,,
"Hombres (009)",41646,6214,901,25264,6866,704,1002,227,468
"Quechua (010)",19,1,1,8,3,2,2,,2
"Aymara (011)",3,1,,2,,,,,
"Ashaninca (012)",2,1,,1,,,,,
"Otra lengua nativa (013)",44,20,,18,4,,2,,
"Castellano (014)",41526,6145,900,25230,6859,702,998,226,466
"Idioma extranjero (015)",1,,,,,,,1,
"Es sordomudo/a (016)",51,46,,5,,,,,
"Mujeres (018)",41044,10831,976,22681,4432,588,970,154,412
"Quechua (019)",20,4,1,9,3,1,1,1,
"Aymara (020)",6,1,,2,2,,,,1
"Ashaninca (021)",4,2,,1,1,,,,
"Otra lengua nativa (022)",43,15,3,20,2,,3,,
"Castellano (023)",40930,10773,972,22645,4424,587,965,153,411
"Es sordomudo/a (025)",41,36,,4,,,1,,
,,,,,,,,,
"URBANA (027)",20025,2801,492,8765,4347,965,1668,265,722
"Quechua (028)",8,,,1,,2,3,1,1
"Aymara (029)",6,1,,3,1,,,,1
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",12,3,,3,2,,4,,
"Castellano (032)",19980,2783,492,8755,4343,963,1661,263,720
"Idioma extranjero (033)",1,,,,,,,1,
"Es sordomudo/a (034)",16,14,,2,,,,,
"Hombres (036)",9766,944,225,4284,2476,501,818,138,380
"Quechua (037)",4,,,,,1,2,,1
"Aymara (038)",2,,,2,,,,,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",6,3,,1,1,,1,,
"Castellano (041)",9742,931,225,4280,2475,500,815,137,379
"Idioma extranjero (042)",1,,,,,,,1,
"Es sordomudo/a (043)",10,10,,,,,,,
"Mujeres (045)",10259,1857,267,4481,1871,464,850,127,342
"Quechua (046)",4,,,1,,1,1,1,
"Aymara (047)",4,1,,1,1,,,,1
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",6,,,2,1,,3,,
"Castellano (050)",10238,1852,267,4475,1868,463,846,126,341
"Es sordomudo/a (052)",6,4,,2,,,,,
,,,,,,,,,
"RURAL (054)",62665,14244,1385,39180,6951,327,304,116,158
"Quechua (055)",31,5,2,16,6,1,,,1
"Aymara (056)",3,1,,1,1,,,,
"Ashaninca (057)",4,3,,1,,,,,
"Otra lengua nativa (058)",75,32,3,35,4,,1,,
"Castellano (059)",62476,14135,1380,39120,6940,326,302,116,157
"Es sordomudo/a (061)",76,68,,7,,,1,,
"Hombres (063)",31880,5270,676,20980,4390,203,184,89,88
"Quechua (064)",15,1,1,8,3,1,,,1
"Aymara (065)",1,1,,,,,,,
"Ashaninca (066)",1,1,,,,,,,
"Otra lengua nativa (067)",38,17,,17,3,,1,,
"Castellano (068)",31784,5214,675,20950,4384,202,183,89,87
"Es sordomudo/a (070)",41,36,,5,,,,,
"Mujeres (072)",30785,8974,709,18200,2561,124,120,27,70
"Quechua (073)",16,4,1,8,3,,,,
"Aymara (074)",2,,,1,1,,,,
"Ashaninca (075)",3,2,,1,,,,,
"Otra lengua nativa (076)",37,15,3,18,1,,,,
"Castellano (077)",30692,8921,705,18170,2556,124,119,27,70
"Es sordomudo/a (079)",35,32,,2,,,1,,
