"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHURCAMPA (000)",44903,17605,3172,510,23649
"Menos de 1 año (001)",926,714,50,11,151
"De 1 a 14 años (002)",17673,13314,899,194,3283
"De 15 a 29 años (003)",9979,2196,551,124,7113
"De 30 a 44 años (004)",7298,713,991,97,5504
"De 45 a 64 años (005)",6104,470,560,55,5021
"De 65 y mas años (006)",2923,198,121,29,2577
"Hombres (008)",22144,8554,1862,285,11460
"Menos de 1 año (009)",478,367,23,4,84
"De 1 a 14 años (010)",8911,6699,448,97,1675
"De 15 a 29 años (011)",4938,962,309,73,3597
"De 30 a 44 años (012)",3582,228,621,63,2673
"De 45 a 64 años (013)",2962,219,391,33,2320
"De 65 y mas años (014)",1273,79,70,15,1111
"Mujeres (016)",22759,9051,1310,225,12189
"Menos de 1 año (017)",448,347,27,7,67
"De 1 a 14 años (018)",8762,6615,451,97,1608
"De 15 a 29 años (019)",5041,1234,242,51,3516
"De 30 a 44 años (020)",3716,485,370,34,2831
"De 45 a 64 años (021)",3142,251,169,22,2701
"De 65 y mas años (022)",1650,119,51,14,1466
,,,,,
"URBANA (024)",10183,2330,2518,248,5103
"Menos de 1 año (025)",169,91,37,2,39
"De 1 a 14 años (026)",3240,1686,651,69,842
"De 15 a 29 años (027)",2445,350,451,84,1564
"De 30 a 44 años (028)",2115,111,815,59,1133
"De 45 a 64 años (029)",1584,71,468,22,1024
"De 65 y mas años (030)",630,21,96,12,501
"Hombres (032)",5251,1140,1525,152,2442
"Menos de 1 año (033)",82,46,17,,19
"De 1 a 14 años (034)",1647,851,326,34,439
"De 15 a 29 años (035)",1265,159,267,55,786
"De 30 a 44 años (036)",1130,38,528,41,525
"De 45 a 64 años (037)",853,35,331,17,471
"De 65 y mas años (038)",274,11,56,5,202
"Mujeres (040)",4932,1190,993,96,2661
"Menos de 1 año (041)",87,45,20,2,20
"De 1 a 14 años (042)",1593,835,325,35,403
"De 15 a 29 años (043)",1180,191,184,29,778
"De 30 a 44 años (044)",985,73,287,18,608
"De 45 a 64 años (045)",731,36,137,5,553
"De 65 y mas años (046)",356,10,40,7,299
,,,,,
"RURAL (048)",34720,15275,654,262,18546
"Menos de 1 año (049)",757,623,13,9,112
"De 1 a 14 años (050)",14433,11628,248,125,2441
"De 15 a 29 años (051)",7534,1846,100,40,5549
"De 30 a 44 años (052)",5183,602,176,38,4371
"De 45 a 64 años (053)",4520,399,92,33,3997
"De 65 y mas años (054)",2293,177,25,17,2076
"Hombres (056)",16893,7414,337,133,9018
"Menos de 1 año (057)",396,321,6,4,65
"De 1 a 14 años (058)",7264,5848,122,63,1236
"De 15 a 29 años (059)",3673,803,42,18,2811
"De 30 a 44 años (060)",2452,190,93,22,2148
"De 45 a 64 años (061)",2109,184,60,16,1849
"De 65 y mas años (062)",999,68,14,10,909
"Mujeres (064)",17827,7861,317,129,9528
"Menos de 1 año (065)",361,302,7,5,47
"De 1 a 14 años (066)",7169,5780,126,62,1205
"De 15 a 29 años (067)",3861,1043,58,22,2738
"De 30 a 44 años (068)",2731,412,83,16,2223
"De 45 a 64 años (069)",2411,215,32,17,2148
"De 65 y mas años (070)",1294,109,11,7,1167
