"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",800,32,483,193,69,23
"Conviviente (001)",229,2,101,88,28,10
"Separado(a) (002)",18,,6,6,5,1
"Casado(a) (003)",105,,18,54,26,7
"Viudo(a) (004)",11,,,2,5,4
"Divorciado(a) (005)",1,,,1,,
"Soltero(a) (006)",436,30,358,42,5,1
"Hombres (008)",603,15,342,162,62,22
"Conviviente (009)",213,1,91,84,27,10
"Separado(a) (010)",8,,2,2,3,1
"Casado(a) (011)",98,,16,49,26,7
"Viudo(a) (012)",8,,,1,3,4
"Divorciado(a) (013)",1,,,1,,
"Soltero(a) (014)",275,14,233,25,3,
"Mujeres (016)",197,17,141,31,7,1
"Conviviente (017)",16,1,10,4,1,
"Separado(a) (018)",10,,4,4,2,
"Casado(a) (019)",7,,2,5,,
"Viudo(a) (020)",3,,,1,2,
"Soltero(a) (022)",161,16,125,17,2,1
,,,,,,
"AREA URBANA (024)",132,1,68,50,10,3
"Conviviente (025)",41,1,18,19,3,
"Separado(a) (026)",5,,1,2,2,
"Casado(a) (027)",21,,1,16,2,2
"Viudo(a) (028)",2,,,,2,
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",62,,48,12,1,1
"Hombres (032)",96,,49,37,8,2
"Conviviente (033)",34,,14,18,2,
"Separado(a) (034)",1,,,,1,
"Casado(a) (035)",18,,1,13,2,2
"Viudo(a) (036)",2,,,,2,
"Divorciado(a) (037)",1,,,1,,
"Soltero(a) (038)",40,,34,5,1,
"Mujeres (040)",36,1,19,13,2,1
"Conviviente (041)",7,1,4,1,1,
"Separado(a) (042)",4,,1,2,1,
"Casado(a) (043)",3,,,3,,
"Soltero(a) (046)",22,,14,7,,1
,,,,,,
"AREA RURAL (048)",668,31,415,143,59,20
"Conviviente (049)",188,1,83,69,25,10
"Separado(a) (050)",13,,5,4,3,1
"Casado(a) (051)",84,,17,38,24,5
"Viudo(a) (052)",9,,,2,3,4
"Soltero(a) (054)",374,30,310,30,4,
"Hombres (056)",507,15,293,125,54,20
"Conviviente (057)",179,1,77,66,25,10
"Separado(a) (058)",7,,2,2,2,1
"Casado(a) (059)",80,,15,36,24,5
"Viudo(a) (060)",6,,,1,1,4
"Soltero(a) (062)",235,14,199,20,2,
"Mujeres (064)",161,16,122,18,5,
"Conviviente (065)",9,,6,3,,
"Separado(a) (066)",6,,3,2,1,
"Casado(a) (067)",4,,2,2,,
"Viudo(a) (068)",3,,,1,2,
"Soltero(a) (070)",139,16,111,10,2,
