"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia ACOBAMBA",,,,,,,,,
"Viviendas particulares (001)",14895,3484,475,259,12,1782,7954,449,480
"Ocupantes presentes (002)",63458,15508,1897,1154,28,7538,33830,1439,2064
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",14493,3343,396,254,8,1726,7861,439,466
"Ocupantes presentes (005)",61918,15008,1605,1130,20,7304,33447,1410,1994
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",171,107,62,,,,,2,
"Ocupantes presentes (011)",628,364,254,,,,,10,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",47,28,17,,,1,1,,
"Ocupantes presentes (014)",163,111,38,,,5,9,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",171,,,5,4,54,89,6,13
"Ocupantes presentes (017)",706,,,24,8,222,368,17,67
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",5,3,,,,,,1,1
"Ocupantes presentes (020)",19,15,,,,,,1,3
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,3,,,,1,1,1,
"Ocupantes presentes (023)",20,10,,,,7,2,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,,,2,,
"Ocupantes presentes (026)",4,,,,,,4,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4686,2391,279,35,,173,1414,194,200
"Ocupantes presentes (029)",19014,10511,1049,153,,683,5171,644,803
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4461,2252,200,35,,172,1413,190,199
"Ocupantes presentes (032)",18202,10020,757,153,,678,5162,632,800
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",171,107,62,,,,,2,
"Ocupantes presentes (038)",628,364,254,,,,,10,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",47,28,17,,,1,1,,
"Ocupantes presentes (041)",163,111,38,,,5,9,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",5,3,,,,,,1,1
"Ocupantes presentes (047)",19,15,,,,,,1,3
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,,,,,,1,
"Ocupantes presentes (050)",2,1,,,,,,1,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",10209,1093,196,224,12,1609,6540,255,280
"Ocupantes presentes (056)",44444,4997,848,1001,28,6855,28659,795,1261
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",10032,1091,196,219,8,1554,6448,249,267
"Ocupantes presentes (059)",43716,4988,848,977,20,6626,28285,778,1194
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",171,,,5,4,54,89,6,13
"Ocupantes presentes (071)",706,,,24,8,222,368,17,67
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,2,,,,1,1,,
"Ocupantes presentes (077)",18,9,,,,7,2,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,,,,,,2,,
"Ocupantes presentes (080)",4,,,,,,4,,
