"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JUNIN (000)",8257,65,2564,2914,1076,382,186,67,10,,993
"Sin Nivel (001)",2261,24,761,791,279,98,66,32,5,,205
"Educación Inicial (002)",4,,1,2,1,,,,,,
"Primaria (003)",2612,29,978,922,293,98,56,13,3,,220
"Secundaria (004)",1871,5,594,705,206,73,38,11,1,,238
"Sup. no Univ. Incompleta (005)",266,1,57,98,40,11,3,1,,,55
"Sup. no Univ. Completa (006)",532,2,80,187,112,33,8,2,1,,107
"Sup. Univ. Incompleta (007)",168,1,24,68,16,11,,3,,,45
"Sup. Univ. Completa (008)",543,3,69,141,129,58,15,5,,,123
,,,,,,,,,,,
"URBANA (010)",5901,43,1720,2104,789,297,136,55,7,,750
"Sin Nivel (011)",1404,14,454,491,163,63,46,27,3,,143
"Educación Inicial (012)",2,,1,,1,,,,,,
"Primaria (013)",1643,18,576,605,186,70,39,9,2,,138
"Secundaria (014)",1492,4,478,564,164,65,27,9,1,,180
"Sup. no Univ. Incompleta (015)",233,1,52,81,37,9,3,1,,,49
"Sup. no Univ. Completa (016)",481,2,72,167,103,31,7,2,1,,96
"Sup. Univ. Incompleta (017)",151,1,21,64,15,9,,3,,,38
"Sup. Univ. Completa (018)",495,3,66,132,120,50,14,4,,,106
,,,,,,,,,,,
"RURAL (020)",2356,22,844,810,287,85,50,12,3,,243
"Sin Nivel (021)",857,10,307,300,116,35,20,5,2,,62
"Educación Inicial (022)",2,,,2,,,,,,,
"Primaria (023)",969,11,402,317,107,28,17,4,1,,82
"Secundaria (024)",379,1,116,141,42,8,11,2,,,58
"Sup. no Univ. Incompleta (025)",33,,5,17,3,2,,,,,6
"Sup. no Univ. Completa (026)",51,,8,20,9,2,1,,,,11
"Sup. Univ. Incompleta (027)",17,,3,4,1,2,,,,,7
"Sup. Univ. Completa (028)",48,,3,9,9,8,1,1,,,17
