"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHUCUITO (000)",58204,7932,16372,14499,19401
"Asiste actualmente (001)",37988,2659,15369,13226,6734
"No asiste (002)",20216,5273,1003,1273,12667
"Hombres (004)",29830,3999,8476,7480,9875
"Asiste actualmente (005)",20148,1345,7945,6950,3908
"No asiste (006)",9682,2654,531,530,5967
"Mujeres (008)",28374,3933,7896,7019,9526
"Asiste actualmente (009)",17840,1314,7424,6276,2826
"No asiste (010)",10534,2619,472,743,6700
,,,,,
"URBANA (012)",17092,2175,4408,4172,6337
"Asiste actualmente (013)",11299,787,4115,3840,2557
"No asiste (014)",5793,1388,293,332,3780
"Hombres (016)",8790,1085,2305,2121,3279
"Asiste actualmente (017)",5934,394,2134,1988,1418
"No asiste (018)",2856,691,171,133,1861
"Mujeres (020)",8302,1090,2103,2051,3058
"Asiste actualmente (021)",5365,393,1981,1852,1139
"No asiste (022)",2937,697,122,199,1919
,,,,,
"RURAL (024)",41112,5757,11964,10327,13064
"Asiste actualmente (025)",26689,1872,11254,9386,4177
"No asiste (026)",14423,3885,710,941,8887
"Hombres (028)",21040,2914,6171,5359,6596
"Asiste actualmente (029)",14214,951,5811,4962,2490
"No asiste (030)",6826,1963,360,397,4106
"Mujeres (032)",20072,2843,5793,4968,6468
"Asiste actualmente (033)",12475,921,5443,4424,1687
"No asiste (034)",7597,1922,350,544,4781
