"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LUCANAS (000)",991,327,664
"De 14 a 29 años (001)",505,220,285
"De 30 a 44 años (002)",296,86,210
"De 45 a 64 años (003)",151,21,130
"De 65 y más años (004)",39,,39
"Hombres (005)",737,227,510
"De 14 a 29 años (006)",350,149,201
"De 30 a 44 años (007)",226,59,167
"De 45 a 64 años (008)",129,19,110
"De 65 y más años (009)",32,,32
"Mujeres (010)",254,100,154
"De 14 a 29 años (011)",155,71,84
"De 30 a 44 años (012)",70,27,43
"De 45 a 64 años (013)",22,2,20
"De 65 y más años (014)",7,,7
,,,
"AREA URBANA (015)",609,186,423
"De 14 a 29 años (016)",302,129,173
"De 30 a 44 años (017)",184,48,136
"De 45 a 64 años (018)",99,9,90
"De 65 y más años (019)",24,,24
"Hombres (020)",443,119,324
"De 14 a 29 años (021)",205,82,123
"De 30 a 44 años (022)",137,29,108
"De 45 a 64 años (023)",84,8,76
"De 65 y más años (024)",17,,17
"Mujeres (025)",166,67,99
"De 14 a 29 años (026)",97,47,50
"De 30 a 44 años (027)",47,19,28
"De 45 a 64 años (028)",15,1,14
"De 65 y más años (029)",7,,7
,,,
"AREA RURAL (030)",382,141,241
"De 14 a 29 años (031)",203,91,112
"De 30 a 44 años (032)",112,38,74
"De 45 a 64 años (033)",52,12,40
"De 65 y más años (034)",15,,15
"Hombres (035)",294,108,186
"De 14 a 29 años (036)",145,67,78
"De 30 a 44 años (037)",89,30,59
"De 45 a 64 años (038)",45,11,34
"De 65 y más años (039)",15,,15
"Mujeres (040)",88,33,55
"De 14 a 29 años (041)",58,24,34
"De 30 a 44 años (042)",23,8,15
"De 45 a 64 años (043)",7,1,6
