"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CARAVELI (000)",457,77,380
"Sin nivel (001)",33,1,32
"Educación inicial (002)",1,,1
"Primaria (003)",108,13,95
"Secundaria (004)",213,45,168
"Superior no univ. incompleta (005)",32,4,28
"Superior no univ. completa (006)",19,4,15
"Superior univ. incompleta (007)",25,5,20
"Superior univ. completa (008)",26,5,21
"De 14 a 29 años (010)",210,65,145
"Sin nivel (011)",2,1,1
"Educación inicial (012)",1,,1
"Primaria (013)",30,9,21
"Secundaria (014)",127,39,88
"Superior no univ. incompleta (015)",18,4,14
"Superior no univ. completa (016)",10,3,7
"Superior univ. incompleta (017)",11,5,6
"Superior univ. completa (018)",11,4,7
"De 30 a 44 años (020)",144,12,132
"Sin nivel (021)",12,,12
"Primaria (023)",31,4,27
"Secundaria (024)",62,6,56
"Superior no univ. incompleta (025)",10,,10
"Superior no univ. completa (026)",8,1,7
"Superior univ. incompleta (027)",9,,9
"Superior univ. completa (028)",12,1,11
"De 45 a 64 años (030)",75,,75
"Sin nivel (031)",10,,10
"Primaria (033)",33,,33
"Secundaria (034)",22,,22
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",4,,4
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",28,,28
"Sin nivel (041)",9,,9
"Primaria (043)",14,,14
"Secundaria (044)",2,,2
"Superior no univ. incompleta (045)",1,,1
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",370,60,310
"Sin nivel (051)",23,,23
"Educación inicial (052)",1,,1
"Primaria (053)",81,11,70
"Secundaria (054)",177,34,143
"Superior no univ. incompleta (055)",29,4,25
"Superior no univ. completa (056)",14,2,12
"Superior univ. incompleta (057)",23,5,18
"Superior univ. completa (058)",22,4,18
"De 14 a 29 años (060)",167,53,114
"Sin nivel (061)",1,,1
"Educación inicial (062)",1,,1
"Primaria (063)",21,8,13
"Secundaria (064)",102,31,71
"Superior no univ. incompleta (065)",16,4,12
"Superior no univ. completa (066)",7,2,5
"Superior univ. incompleta (067)",9,5,4
"Superior univ. completa (068)",10,3,7
"De 30 a 44 años (070)",118,7,111
"Sin nivel (071)",9,,9
"Primaria (073)",21,3,18
"Secundaria (074)",53,3,50
"Superior no univ. incompleta (075)",10,,10
"Superior no univ. completa (076)",6,,6
"Superior univ. incompleta (077)",9,,9
"Superior univ. completa (078)",10,1,9
"De 45 a 64 años (080)",60,,60
"Sin nivel (081)",6,,6
"Primaria (083)",26,,26
"Secundaria (084)",20,,20
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",4,,4
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",25,,25
"Sin nivel (091)",7,,7
"Primaria (093)",13,,13
"Secundaria (094)",2,,2
"Superior no univ. incompleta (095)",1,,1
"Superior univ. incompleta (097)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",87,17,70
"Sin nivel (101)",10,1,9
"Primaria (103)",27,2,25
"Secundaria (104)",36,11,25
"Superior no univ. incompleta (105)",3,,3
"Superior no univ. completa (106)",5,2,3
"Superior univ. incompleta (107)",2,,2
"Superior univ. completa (108)",4,1,3
"De 14 a 29 años (110)",43,12,31
"Sin nivel (111)",1,1,
"Primaria (113)",9,1,8
"Secundaria (114)",25,8,17
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",3,1,2
"Superior univ. incompleta (117)",2,,2
"Superior univ. completa (118)",1,1,
"De 30 a 44 años (120)",26,5,21
"Sin nivel (121)",3,,3
"Primaria (123)",10,1,9
"Secundaria (124)",9,3,6
"Superior no univ. completa (126)",2,1,1
"Superior univ. completa (128)",2,,2
"De 45 a 64 años (130)",15,,15
"Sin nivel (131)",4,,4
"Primaria (133)",7,,7
"Secundaria (134)",2,,2
"Superior no univ. incompleta (135)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",3,,3
"Sin nivel (141)",2,,2
"Primaria (143)",1,,1
