"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CALCA (000)",37377,35772,1605
"Hombres (001)",18562,17961,601
"Mujeres (002)",18815,17811,1004
"De 18 a 29 años (003)",11987,11340,647
"Hombres (004)",6144,5847,297
"Mujeres (005)",5843,5493,350
"De 30 a 44 años (006)",12196,11984,212
"Hombres (007)",6067,5999,68
"Mujeres (008)",6129,5985,144
"De 45 a 64 años (009)",9064,8781,283
"Hombres (010)",4476,4386,90
"Mujeres (011)",4588,4395,193
"De 65 y más años (012)",4130,3667,463
"Hombres (013)",1875,1729,146
"Mujeres (014)",2255,1938,317
,,,
"URBANA (015)",13986,13460,526
"Hombres (016)",6811,6601,210
"Mujeres (017)",7175,6859,316
"De 18 a 29 años (018)",4682,4420,262
"Hombres (019)",2374,2238,136
"Mujeres (020)",2308,2182,126
"De 30 a 44 años (021)",4600,4535,65
"Hombres (022)",2218,2196,22
"Mujeres (023)",2382,2339,43
"De 45 a 64 años (024)",3210,3137,73
"Hombres (025)",1566,1545,21
"Mujeres (026)",1644,1592,52
"De 65 y más años (027)",1494,1368,126
"Hombres (028)",653,622,31
"Mujeres (029)",841,746,95
,,,
"RURAL (030)",23391,22312,1079
"Hombres (031)",11751,11360,391
"Mujeres (032)",11640,10952,688
"De 18 a 29 años (033)",7305,6920,385
"Hombres (034)",3770,3609,161
"Mujeres (035)",3535,3311,224
"De 30 a 44 años (036)",7596,7449,147
"Hombres (037)",3849,3803,46
"Mujeres (038)",3747,3646,101
"De 45 a 64 años (039)",5854,5644,210
"Hombres (040)",2910,2841,69
"Mujeres (041)",2944,2803,141
"De 65 y más años (042)",2636,2299,337
"Hombres (043)",1222,1107,115
"Mujeres (044)",1414,1192,222
