"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YUNGUYO (000)",47400,670,13617,11367,8615,8440,4691
"Hombres (001)",23321,360,6792,5696,4167,4060,2246
"Mujeres (002)",24079,310,6825,5671,4448,4380,2445
"Viviendas particulares (003)",47148,668,13599,11296,8508,8390,4687
"Hombres (004)",23144,360,6782,5650,4087,4021,2244
"Mujeres (005)",24004,308,6817,5646,4421,4369,2443
"Viviendas colectivas (006)",151,1,2,37,81,28,2
"Hombres (007)",118,,1,26,67,24,
"Mujeres (008)",33,1,1,11,14,4,2
"Otro tipo (009)",101,1,16,34,26,22,2
"Hombres (010)",59,,9,20,13,15,2
"Mujeres (011)",42,1,7,14,13,7,
,,,,,,,
"URBANA (012)",17343,253,5013,4473,3637,2820,1147
"Hombres (013)",8510,133,2499,2178,1760,1409,531
"Mujeres (014)",8833,120,2514,2295,1877,1411,616
"Viviendas particulares (015)",17145,251,4995,4416,3562,2778,1143
"Hombres (016)",8386,133,2489,2145,1712,1378,529
"Mujeres (017)",8759,118,2506,2271,1850,1400,614
"Viviendas colectivas (018)",97,1,2,23,49,20,2
"Hombres (019)",65,,1,13,35,16,
"Mujeres (020)",32,1,1,10,14,4,2
"Otro tipo (021)",101,1,16,34,26,22,2
"Hombres (022)",59,,9,20,13,15,2
"Mujeres (023)",42,1,7,14,13,7,
,,,,,,,
"RURAL (024)",30057,417,8604,6894,4978,5620,3544
"Hombres (025)",14811,227,4293,3518,2407,2651,1715
"Mujeres (026)",15246,190,4311,3376,2571,2969,1829
"Viviendas particulares (027)",30003,417,8604,6880,4946,5612,3544
"Hombres (028)",14758,227,4293,3505,2375,2643,1715
"Mujeres (029)",15245,190,4311,3375,2571,2969,1829
"Viviendas colectivas (030)",54,,,14,32,8,
"Hombres (031)",53,,,13,32,8,
"Mujeres (032)",1,,,1,,,
