"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PURUS (000)",2479,456,547,622,441,201,212
"Católica (001)",924,155,190,246,190,80,63
"Cristiana/Evangélica (002)",1328,244,309,318,222,107,128
"Otra (003)",27,3,7,9,3,3,2
"Ninguna (004)",200,54,41,49,26,11,19
"Hombres (006)",1339,230,293,331,257,111,117
"Católica (007)",555,86,106,139,130,55,39
"Cristiana/Evangélica (008)",669,116,161,162,112,53,65
"Otra (009)",17,1,4,7,3,1,1
"Ninguna (010)",98,27,22,23,12,2,12
"Mujeres (012)",1140,226,254,291,184,90,95
"Católica (013)",369,69,84,107,60,25,24
"Cristiana/Evangélica (014)",659,128,148,156,110,54,63
"Otra (015)",10,2,3,2,,2,1
"Ninguna (016)",102,27,19,26,14,9,7
,,,,,,,
"URBANA (018)",908,148,195,249,174,80,62
"Católica (019)",513,79,93,146,112,52,31
"Cristiana/Evangélica (020)",336,55,91,86,55,25,24
"Otra (021)",23,3,5,8,3,2,2
"Ninguna (022)",36,11,6,9,4,1,5
"Hombres (024)",517,76,111,131,108,50,41
"Católica (025)",301,45,54,74,72,36,20
"Cristiana/Evangélica (026)",179,23,50,46,30,14,16
"Otra (027)",13,1,2,6,3,,1
"Ninguna (028)",24,7,5,5,3,,4
"Mujeres (030)",391,72,84,118,66,30,21
"Católica (031)",212,34,39,72,40,16,11
"Cristiana/Evangélica (032)",157,32,41,40,25,11,8
"Otra (033)",10,2,3,2,,2,1
"Ninguna (034)",12,4,1,4,1,1,1
,,,,,,,
"RURAL (036)",1571,308,352,373,267,121,150
"Católica (037)",411,76,97,100,78,28,32
"Cristiana/Evangélica (038)",992,189,218,232,167,82,104
"Otra (039)",4,,2,1,,1,
"Ninguna (040)",164,43,35,40,22,10,14
"Hombres (042)",822,154,182,200,149,61,76
"Católica (043)",254,41,52,65,58,19,19
"Cristiana/Evangélica (044)",490,93,111,116,82,39,49
"Otra (045)",4,,2,1,,1,
"Ninguna (046)",74,20,17,18,9,2,8
"Mujeres (048)",749,154,170,173,118,60,74
"Católica (049)",157,35,45,35,20,9,13
"Cristiana/Evangélica (050)",502,96,107,116,85,43,55
"Ninguna (052)",90,23,18,22,13,8,6
