"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LUYA (000)",41365,13194,2648,618,24938
"Hombres (001)",21431,6405,1300,349,13398
"Mujeres (002)",19934,6789,1348,269,11540
"PEA (003)",15874,2238,1359,281,12014
"Hombres (004)",12764,1791,790,210,9988
"Mujeres (005)",3110,447,569,71,2026
"Ocupada (006)",15711,2207,1352,280,11890
"Hombres (007)",12650,1768,785,210,9902
"Mujeres (008)",3061,439,567,70,1988
"Desocupada (009)",163,31,7,1,124
"Hombres (010)",114,23,5,,86
"Mujeres (011)",49,8,2,1,38
"No PEA (012)",25491,10956,1289,337,12924
"Hombres (013)",8667,4614,510,139,3410
"Mujeres (014)",16824,6342,779,198,9514
,,,,,
"URBANA (018)",17035,4976,1955,290,9831
"Hombres (019)",8456,2317,928,178,5047
"Mujeres (020)",8579,2659,1027,112,4784
"PEA (021)",6885,971,980,142,4803
"Hombres (022)",5049,680,545,111,3724
"Mujeres (023)",1836,291,435,31,1079
"Ocupada (024)",6785,954,973,141,4728
"Hombres (025)",4974,666,540,111,3668
"Mujeres (026)",1811,288,433,30,1060
"Desocupada (027)",100,17,7,1,75
"Hombres (028)",75,14,5,,56
"Mujeres (029)",25,3,2,1,19
"No PEA (030)",10150,4005,975,148,5028
"Hombres (031)",3407,1637,383,67,1323
"Mujeres (032)",6743,2368,592,81,3705
,,,,,
"RURAL (036)",24330,8218,693,328,15107
"Hombres (037)",12975,4088,372,171,8351
"Mujeres (038)",11355,4130,321,157,6756
"PEA (039)",8989,1267,379,139,7211
"Hombres (040)",7715,1111,245,99,6264
"Mujeres (041)",1274,156,134,40,947
"Ocupada (042)",8926,1253,379,139,7162
"Hombres (043)",7676,1102,245,99,6234
"Mujeres (044)",1250,151,134,40,928
"Desocupada (045)",63,14,,,49
"Hombres (046)",39,9,,,30
"Mujeres (047)",24,5,,,19
"No PEA (048)",15341,6951,314,189,7896
"Hombres (049)",5260,2977,127,72,2087
"Mujeres (050)",10081,3974,187,117,5809
