"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAMPA (000)",48223,738,14174,13171,8883,7354,3903
"Hombres (001)",24061,388,7180,6704,4424,3539,1826
"Mujeres (002)",24162,350,6994,6467,4459,3815,2077
"Viviendas particulares (003)",46649,735,14126,12582,8193,7129,3884
"Hombres (004)",22727,388,7163,6178,3831,3351,1816
"Mujeres (005)",23922,347,6963,6404,4362,3778,2068
"Viviendas colectivas (006)",1150,2,7,446,554,134,7
"Hombres (007)",1070,,1,425,514,125,5
"Mujeres (008)",80,2,6,21,40,9,2
"Otro tipo (009)",424,1,41,143,136,91,12
"Hombres (010)",264,,16,101,79,63,5
"Mujeres (011)",160,1,25,42,57,28,7
,,,,,,,
"URBANA (012)",18659,316,5537,5617,3577,2467,1145
"Hombres (013)",9217,166,2795,2792,1717,1232,515
"Mujeres (014)",9442,150,2742,2825,1860,1235,630
"Viviendas particulares (015)",18125,313,5497,5452,3379,2353,1131
"Hombres (016)",8888,166,2779,2678,1606,1151,508
"Mujeres (017)",9237,147,2718,2774,1773,1202,623
"Viviendas colectivas (018)",161,2,6,38,75,35,5
"Hombres (019)",89,,1,19,38,28,3
"Mujeres (020)",72,2,5,19,37,7,2
"Otro tipo (021)",373,1,34,127,123,79,9
"Hombres (022)",240,,15,95,73,53,4
"Mujeres (023)",133,1,19,32,50,26,5
,,,,,,,
"RURAL (024)",29564,422,8637,7554,5306,4887,2758
"Hombres (025)",14844,222,4385,3912,2707,2307,1311
"Mujeres (026)",14720,200,4252,3642,2599,2580,1447
"Viviendas particulares (027)",28524,422,8629,7130,4814,4776,2753
"Hombres (028)",13839,222,4384,3500,2225,2200,1308
"Mujeres (029)",14685,200,4245,3630,2589,2576,1445
"Viviendas colectivas (030)",989,,1,408,479,99,2
"Hombres (031)",981,,,406,476,97,2
"Mujeres (032)",8,,1,2,3,2,
"Otro tipo (033)",51,,7,16,13,12,3
"Hombres (034)",24,,1,6,6,10,1
"Mujeres (035)",27,,6,10,7,2,2
