"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",8879,8711,2229,909,933,796,1395,1125,747,577,168,31308
"De 12 a 14 años (001)",940,937,933,4,,,,,,,3,4
"De 15 a 19 años (002)",971,950,765,162,21,1,1,,,,21,211
"De 20 a 24 años (003)",717,682,152,292,173,54,10,1,,,35,849
"De 25 a 29 años (004)",722,683,75,146,223,150,82,6,1,,39,1434
"De 30 a 34 años (005)",692,677,49,77,152,166,177,54,2,,15,2004
"De 35 a 39 años (006)",680,670,47,48,93,117,242,86,34,3,10,2515
"De 40 a 44 años (007)",643,634,29,42,51,84,181,153,65,29,9,3047
"De 45 a 49 años (008)",527,522,13,22,41,41,146,134,84,41,5,2904
"De 50 y más años (009)",2987,2956,166,116,179,183,556,691,561,504,31,18340
"PEA (010)",1446,1406,261,180,199,179,277,157,94,59,40,4805
"De 12 a 14 años (011)",30,30,30,,,,,,,,,
"De 15 a 19 años (012)",102,100,80,15,4,,1,,,,2,27
"De 20 a 24 años (013)",151,139,44,47,30,14,3,1,,,12,169
"De 25 a 29 años (014)",160,143,30,35,38,27,13,,,,17,248
"De 30 a 34 años (015)",162,159,21,31,39,33,25,10,,,3,383
"De 35 a 39 años (016)",183,182,21,16,39,35,52,13,6,,1,565
"De 40 a 44 años (017)",154,154,5,14,21,26,51,25,7,5,,628
"De 45 a 49 años (018)",106,104,3,8,9,13,39,16,12,4,2,493
"De 50 y más años (019)",398,395,27,14,19,31,93,92,69,50,3,2292
"Ocupada (020)",1391,1355,238,172,196,172,271,155,92,59,36,4716
"De 12 a 14 años (021)",27,27,27,,,,,,,,,
"De 15 a 19 años (022)",90,89,70,15,4,,,,,,1,23
"De 20 a 24 años (023)",139,129,38,43,30,14,3,1,,,10,165
